id,title,company,location,city,state,zip_code,url,source,source_url,scraped_at,description,platform,salary,shift_type,requirements,benefits,application_url,job_category,seniority_level,is_remote,salary_min,salary_max,salary_type,salary_is_competitive,education_requirements,experience_requirements,certification_requirements,skill_requirements,completeness_required,completeness_optional,completeness_overall
CareListings_3467396200583340678,"""Female caregiver needed in Newtown CT. Client is a 76 y/o female with advanced alzheimers/dementia. Needs stand by assist with bathing, light housekeeping, meal prep, possible errands, and engaging in...""",CareListings,"possible errands, IN",possible errands,IN,,https://www.carelistings.com/jobs/cna/newtown-ct/6824d38909a8400013635550?utm_source=&utm_medium=&utm_campaign=&utm_term=&utm_content=,CareListings,https://www.carelistings.com/jobs/CNA/connecticut,2025-07-11T18:20:19.041033,"Home Care Agency
Certified Nursing Assistant (CNA)
Full-Time Employment
$18.00 - $20.00 / Hour
""Female caregiver needed in Newtown CT. Client is a 76 y/o female with advanced alzheimers/dementia. Needs stand by assist with bathing, light housekeeping, meal prep, possible errands, and engaging in...""
Apply Now",custom,,Full-Time,"CNA, Certified, Certified Nursing Assistant",,https://www.carelistings.com/jobs/cna/newtown-ct/6824d38909a8400013635550?utm_source=&utm_medium=&utm_campaign=&utm_term=&utm_content=,nursing,senior,False,,,,False,certified,,certified; certified nursing assistant; cna,,1.0,0.5,0.85
CareListings_8776890320293855853,FEMALE CAREGIVER NEEDED IN BROOKFIELD,CareListings,"Brookfield, CT",Brookfield,CT,,https://www.carelistings.com/jobs/cna/brookfield-ct/67db2519df39950013b55c20?utm_source=&utm_medium=&utm_campaign=&utm_term=&utm_content=,CareListings,https://www.carelistings.com/jobs/CNA/connecticut,2025-07-11T18:20:23.403687,"FEMALE CAREGIVER NEEDED IN BROOKFIELD
Giving Hearts Home Care
Brookfield, CT
Home Care Agency
Certified Nursing Assistant (CNA)
Part-Time Employment
$18.00 - $20.00 / Hour
""Hourly case weekends in Brookfield 84 year old woman, lives with husband. Readmitted to the hospital after a long stay due to a fall at home. Suffered a brain bleed. Now is at home healing and need...""
Apply Now",custom,84 year,Part-Time,"CNA, Certified, Certified Nursing Assistant",,https://www.carelistings.com/jobs/cna/brookfield-ct/67db2519df39950013b55c20?utm_source=&utm_medium=&utm_campaign=&utm_term=&utm_content=,nursing,entry,False,84,84,annual,False,certified,,certified; certified nursing assistant; cna,,1.0,0.75,0.9249999999999999
CareListings_8776890320293855853,FEMALE CAREGIVER NEEDED IN BROOKFIELD,CareListings,"FEMALE CAREGIVER NEEDED IN, BR",FEMALE CAREGIVER NEEDED IN,BR,,https://www.carelistings.com/jobs/cna/brookfield-ct/67db2519df39950013b55c20?utm_source=&utm_medium=&utm_campaign=&utm_term=&utm_content=,CareListings,https://www.carelistings.com/jobs/CNA/connecticut,2025-07-11T18:20:27.357593,FEMALE CAREGIVER NEEDED IN BROOKFIELD,custom,,,,,https://www.carelistings.com/jobs/cna/brookfield-ct/67db2519df39950013b55c20?utm_source=&utm_medium=&utm_campaign=&utm_term=&utm_content=,caregiving,entry,False,,,,False,,,,,1.0,0.0,0.7
CareListings_8776890320293855853,"""Hourly case weekends in Brookfield 84 year old woman, lives with husband. Readmitted to the hospital after a long stay due to a fall at home. Suffered a brain bleed. Now is at home healing and need...""",CareListings,"Home Care Agency
Certified Nursing, AS","Home Care Agency
Certified Nursing",AS,,https://www.carelistings.com/jobs/cna/brookfield-ct/67db2519df39950013b55c20?utm_source=&utm_medium=&utm_campaign=&utm_term=&utm_content=,CareListings,https://www.carelistings.com/jobs/CNA/connecticut,2025-07-11T18:20:29.045321,"Home Care Agency
Certified Nursing Assistant (CNA)
Part-Time Employment
$18.00 - $20.00 / Hour
""Hourly case weekends in Brookfield 84 year old woman, lives with husband. Readmitted to the hospital after a long stay due to a fall at home. Suffered a brain bleed. Now is at home healing and need...""
Apply Now",custom,84 year,Part-Time,"CNA, Certified, Certified Nursing Assistant",,https://www.carelistings.com/jobs/cna/brookfield-ct/67db2519df39950013b55c20?utm_source=&utm_medium=&utm_campaign=&utm_term=&utm_content=,nursing,entry,False,84,84,annual,False,certified,,certified; certified nursing assistant; cna,,1.0,0.75,0.9249999999999999
CareListings_929738993171126362,Opportunities available for a CNA to join our team!,CareListings,"Avon, CT",Avon,CT,,https://www.carelistings.com/jobs/cna/avon-ct/64422161a5094949e6d55784?utm_source=&utm_medium=&utm_campaign=&utm_term=&utm_content=,CareListings,https://www.carelistings.com/jobs/CNA/connecticut,2025-07-11T18:20:30.849013,"Opportunities available for a CNA to join our team!
Arden Courts Of Avon
Avon, CT
Certified Nursing Assistant (CNA)
Full-Time Employment
Competitive Wages
""Job Responsibilities may include: • Interactions with residents that promotes a caring environment. • Supporting residents in a manner that promotes their dignity. • Providing individualized care...""
Apply Now",custom,,Full-Time,"Certified, CNA, Certified Nursing Assistant",,https://www.carelistings.com/jobs/cna/avon-ct/64422161a5094949e6d55784?utm_source=&utm_medium=&utm_campaign=&utm_term=&utm_content=,nursing,entry,False,,,,False,certified,,certified; certified nursing assistant; cna,,1.0,0.5,0.85
CareListings_929738993171126362,"""Job Responsibilities may include: • Interactions with residents that promotes a caring environment. • Supporting residents in a manner that promotes their dignity. • Providing individualized care...""",CareListings,"Certified Nursing, AS",Certified Nursing,AS,,https://www.carelistings.com/jobs/cna/avon-ct/64422161a5094949e6d55784?utm_source=&utm_medium=&utm_campaign=&utm_term=&utm_content=,CareListings,https://www.carelistings.com/jobs/CNA/connecticut,2025-07-11T18:20:34.076397,"Certified Nursing Assistant (CNA)
Full-Time Employment
Competitive Wages
""Job Responsibilities may include: • Interactions with residents that promotes a caring environment. • Supporting residents in a manner that promotes their dignity. • Providing individualized care...""
Apply Now",custom,,Full-Time,"CNA, Certified, Certified Nursing Assistant",,https://www.carelistings.com/jobs/cna/avon-ct/64422161a5094949e6d55784?utm_source=&utm_medium=&utm_campaign=&utm_term=&utm_content=,nursing,entry,False,,,,False,certified,,certified; certified nursing assistant; cna,,1.0,0.5,0.85
CareListings_929738993171126362,"""Job Responsibilities may include: • Interactions with residents that promotes a caring environment. • Supporting residents in a manner that promotes their dignity. • Providing individualized care...""",CareListings,"Job Responsibilities may, IN",Job Responsibilities may,IN,,https://www.carelistings.com/jobs/cna/avon-ct/64422161a5094949e6d55784?utm_source=&utm_medium=&utm_campaign=&utm_term=&utm_content=,CareListings,https://www.carelistings.com/jobs/CNA/connecticut,2025-07-11T18:20:35.846165,"""Job Responsibilities may include: • Interactions with residents that promotes a caring environment. • Supporting residents in a manner that promotes their dignity. • Providing individualized care...""",custom,,,,,https://www.carelistings.com/jobs/cna/avon-ct/64422161a5094949e6d55784?utm_source=&utm_medium=&utm_campaign=&utm_term=&utm_content=,other,entry,False,,,,False,,,,,1.0,0.0,0.7
CareListings_4427386856906205881,Opportunities available for a CNA to join our team!,CareListings,"Farmington, CT",Farmington,CT,,https://www.carelistings.com/jobs/cna/farmington-ct/64422161a5094949e6d55775?utm_source=&utm_medium=&utm_campaign=&utm_term=&utm_content=,CareListings,https://www.carelistings.com/jobs/CNA/connecticut,2025-07-11T18:20:38.517631,"Opportunities available for a CNA to join our team!
Arden Courts Of Farmington
Farmington, CT
Certified Nursing Assistant (CNA)
Full-Time Employment
Competitive Wages
""Job Responsibilities may include: • Interactions with residents that promotes a caring environment. • Supporting residents in a manner that promotes their dignity. • Providing individualized care...""
Apply Now",custom,,Full-Time,"Certified, CNA, Certified Nursing Assistant",,https://www.carelistings.com/jobs/cna/farmington-ct/64422161a5094949e6d55775?utm_source=&utm_medium=&utm_campaign=&utm_term=&utm_content=,nursing,entry,False,,,,False,certified,,certified; certified nursing assistant; cna,,1.0,0.5,0.85
CareListings_8353265982221424838,CNA opportunity helping seniors live their best lives!,CareListings,"Hamden, CT",Hamden,CT,,https://www.carelistings.com/jobs/cna/hamden-ct/63e09a415aaa77952488614b?utm_source=&utm_medium=&utm_campaign=&utm_term=&utm_content=,CareListings,https://www.carelistings.com/jobs/CNA/connecticut,2025-07-11T18:20:46.627944,"CNA opportunity helping seniors live their best lives!
Atria Larson Place
Hamden, CT
Assisted Living Service Agency
Certified Nursing Assistant (CNA)
Full-Time Employment
Competitive Wages
""No experience needed! Apply today. Atria Senior Living has immediate openings for caregivers and is offering competitive pay with great benefits. At Atria, you can have a great work-life balance, p...""
Apply Now",custom,competitive pay,Full-Time,"Certified, CNA, Senior, Certified Nursing Assistant",,https://www.carelistings.com/jobs/cna/hamden-ct/63e09a415aaa77952488614b?utm_source=&utm_medium=&utm_campaign=&utm_term=&utm_content=,nursing,entry,False,,,competitive,True,certified,senior,certified; certified nursing assistant; cna,,1.0,0.75,0.9249999999999999
CareListings_8353265982221424838,"""No experience needed! Apply today. Atria Senior Living has immediate openings for caregivers and is offering competitive pay with great benefits. At Atria, you can have a great work-life balance, p...""",CareListings,"Assisted Living Service Agency
Certified Nursing, AS","Assisted Living Service Agency
Certified Nursing",AS,,https://www.carelistings.com/jobs/cna/hamden-ct/63e09a415aaa77952488614b?utm_source=&utm_medium=&utm_campaign=&utm_term=&utm_content=,CareListings,https://www.carelistings.com/jobs/CNA/connecticut,2025-07-11T18:20:51.193553,"Assisted Living Service Agency
Certified Nursing Assistant (CNA)
Full-Time Employment
Competitive Wages
""No experience needed! Apply today. Atria Senior Living has immediate openings for caregivers and is offering competitive pay with great benefits. At Atria, you can have a great work-life balance, p...""
Apply Now",custom,competitive pay,Full-Time,"CNA, Certified, Certified Nursing Assistant, Senior",,https://www.carelistings.com/jobs/cna/hamden-ct/63e09a415aaa77952488614b?utm_source=&utm_medium=&utm_campaign=&utm_term=&utm_content=,nursing,entry,False,,,competitive,True,certified,senior,certified; certified nursing assistant; cna,,1.0,0.75,0.9249999999999999
CareListings_8353265982221424838,"""No experience needed! Apply today. Atria Senior Living has immediate openings for caregivers and is offering competitive pay with great benefits. At Atria, you can have a great work-life balance, p...""",CareListings,"No experience, NE",No experience,NE,,https://www.carelistings.com/jobs/cna/hamden-ct/63e09a415aaa77952488614b?utm_source=&utm_medium=&utm_campaign=&utm_term=&utm_content=,CareListings,https://www.carelistings.com/jobs/CNA/connecticut,2025-07-11T18:20:52.941632,"""No experience needed! Apply today. Atria Senior Living has immediate openings for caregivers and is offering competitive pay with great benefits. At Atria, you can have a great work-life balance, p...""",custom,competitive pay,,Senior,,https://www.carelistings.com/jobs/cna/hamden-ct/63e09a415aaa77952488614b?utm_source=&utm_medium=&utm_campaign=&utm_term=&utm_content=,caregiving,entry,False,,,competitive,True,,senior,,,1.0,0.5,0.85
CareListings_8846668677245004710,CNA - Per Diem,CareListings,"Hamden, CT",Hamden,CT,,https://www.carelistings.com/jobs/cna/hamden-ct/63c807cb5603db1474433baa?utm_source=&utm_medium=&utm_campaign=&utm_term=&utm_content=,CareListings,https://www.carelistings.com/jobs/CNA/connecticut,2025-07-11T18:20:55.908138,"CNA - Per Diem
Infinity Home Care Services
Hamden, CT
Home Health Care Agency
Certified Nursing Assistant (CNA)
Part-Time Employment
$14.00 - $15.00 / Hour
""We are actively looking for a dependable Certified Nurse's Aide for Hamden & the surrounding areas. This is a Per Diem position. Must have own reliable car. We have excellent mileage reimbursement rat...""
Apply Now",custom,,Per Diem,"Certified Nursing Assistant, CNA, Certified, dependable, reliable",,https://www.carelistings.com/jobs/cna/hamden-ct/63c807cb5603db1474433baa?utm_source=&utm_medium=&utm_campaign=&utm_term=&utm_content=,nursing,entry,False,,,,False,certified,,certified; certified nursing assistant; cna,dependable; reliable,1.0,0.5,0.85
CareListings_8846668677245004710,"""We are actively looking for a dependable Certified Nurse's Aide for Hamden & the surrounding areas. This is a Per Diem position. Must have own reliable car. We have excellent mileage reimbursement rat...""",CareListings,"Home Health Care Agency
Certified Nursing, AS","Home Health Care Agency
Certified Nursing",AS,,https://www.carelistings.com/jobs/cna/hamden-ct/63c807cb5603db1474433baa?utm_source=&utm_medium=&utm_campaign=&utm_term=&utm_content=,CareListings,https://www.carelistings.com/jobs/CNA/connecticut,2025-07-11T18:21:00.886265,"Home Health Care Agency
Certified Nursing Assistant (CNA)
Part-Time Employment
$14.00 - $15.00 / Hour
""We are actively looking for a dependable Certified Nurse's Aide for Hamden & the surrounding areas. This is a Per Diem position. Must have own reliable car. We have excellent mileage reimbursement rat...""
Apply Now",custom,,Part-Time,"Certified Nursing Assistant, CNA, Certified, dependable, reliable",,https://www.carelistings.com/jobs/cna/hamden-ct/63c807cb5603db1474433baa?utm_source=&utm_medium=&utm_campaign=&utm_term=&utm_content=,nursing,entry,False,,,,False,certified,,certified; certified nursing assistant; cna,dependable; reliable,1.0,0.5,0.85
CareListings_8846668677245004710,"""We are actively looking for a dependable Certified Nurse's Aide for Hamden & the surrounding areas. This is a Per Diem position. Must have own reliable car. We have excellent mileage reimbursement rat...""",CareListings,"We are actively looking for a dependable Certified, NU",We are actively looking for a dependable Certified,NU,,https://www.carelistings.com/jobs/cna/hamden-ct/63c807cb5603db1474433baa?utm_source=&utm_medium=&utm_campaign=&utm_term=&utm_content=,CareListings,https://www.carelistings.com/jobs/CNA/connecticut,2025-07-11T18:21:02.765271,"""We are actively looking for a dependable Certified Nurse's Aide for Hamden & the surrounding areas. This is a Per Diem position. Must have own reliable car. We have excellent mileage reimbursement rat...""",custom,,Per Diem,"Certified, reliable, dependable",,https://www.carelistings.com/jobs/cna/hamden-ct/63c807cb5603db1474433baa?utm_source=&utm_medium=&utm_campaign=&utm_term=&utm_content=,nursing,entry,False,,,,False,certified,,certified,dependable; reliable,1.0,0.5,0.85
CareListings_7090876601700682901,A place where you matter and valued,CareListings,"New Britain, CT",New Britain,CT,,https://www.carelistings.com/jobs/cna/new-britain-ct/6363ebee5d2272733f1d4645?utm_source=&utm_medium=&utm_campaign=&utm_term=&utm_content=,CareListings,https://www.carelistings.com/jobs/CNA/connecticut,2025-07-11T18:21:05.382414,"A place where you matter and valued
Monsignor Bojnowski Manor
New Britain, CT
Skilled Nursing Facility
Certified Nursing Assistant (CNA)
Full-Time Employment
$19.00 - $23.00 / Hour
""Do you want to work for a Skill Nursing Facility that places “CARE” at the center of its mission? We are small 60 beds, with direct contact with management. A great culture of clinical care, 5-Star ac...""
Apply Now",custom,,Full-Time,"CNA, Certified, Certified Nursing Assistant",,https://www.carelistings.com/jobs/cna/new-britain-ct/6363ebee5d2272733f1d4645?utm_source=&utm_medium=&utm_campaign=&utm_term=&utm_content=,nursing,entry,False,,,,False,certified,,certified; certified nursing assistant; cna,,1.0,0.5,0.85
CareListings_7090876601700682901,"""Do you want to work for a Skill Nursing Facility that places “CARE” at the center of its mission? We are small 60 beds, with direct contact with management. A great culture of clinical care, 5-Star ac...""",CareListings,"Skilled Nursing Facility
Certified Nursing, AS","Skilled Nursing Facility
Certified Nursing",AS,,https://www.carelistings.com/jobs/cna/new-britain-ct/6363ebee5d2272733f1d4645?utm_source=&utm_medium=&utm_campaign=&utm_term=&utm_content=,CareListings,https://www.carelistings.com/jobs/CNA/connecticut,2025-07-11T18:21:08.676007,"Skilled Nursing Facility
Certified Nursing Assistant (CNA)
Full-Time Employment
$19.00 - $23.00 / Hour
""Do you want to work for a Skill Nursing Facility that places “CARE” at the center of its mission? We are small 60 beds, with direct contact with management. A great culture of clinical care, 5-Star ac...""
Apply Now",custom,,Full-Time,"CNA, Certified, Certified Nursing Assistant",,https://www.carelistings.com/jobs/cna/new-britain-ct/6363ebee5d2272733f1d4645?utm_source=&utm_medium=&utm_campaign=&utm_term=&utm_content=,nursing,entry,False,,,,False,certified,,certified; certified nursing assistant; cna,,1.0,0.5,0.85
CareListings_7090876601700682901,"""Do you want to work for a Skill Nursing Facility that places “CARE” at the center of its mission? We are small 60 beds, with direct contact with management. A great culture of clinical care, 5-Star ac...""",CareListings,"Do you want to work for a Skill Nursing Facility that, PL",Do you want to work for a Skill Nursing Facility that,PL,,https://www.carelistings.com/jobs/cna/new-britain-ct/6363ebee5d2272733f1d4645?utm_source=&utm_medium=&utm_campaign=&utm_term=&utm_content=,CareListings,https://www.carelistings.com/jobs/CNA/connecticut,2025-07-11T18:21:10.753861,"""Do you want to work for a Skill Nursing Facility that places “CARE” at the center of its mission? We are small 60 beds, with direct contact with management. A great culture of clinical care, 5-Star ac...""",custom,,,,,https://www.carelistings.com/jobs/cna/new-britain-ct/6363ebee5d2272733f1d4645?utm_source=&utm_medium=&utm_campaign=&utm_term=&utm_content=,nursing,entry,False,,,,False,,,,,1.0,0.0,0.7
CareListings_8556275844980618729,Full Time and Part Time CNAs 7-3 and 3-11,CareListings,"Avon, CT",Avon,CT,,https://www.carelistings.com/jobs/cna/avon-ct/6351da84e0d7a0622ab05b15?utm_source=&utm_medium=&utm_campaign=&utm_term=&utm_content=,CareListings,https://www.carelistings.com/jobs/CNA/connecticut,2025-07-11T18:21:13.448197,"Full Time and Part Time CNAs 7-3 and 3-11
Avon Health Center
Avon, CT
Skilled Nursing Facility
Certified Nursing Assistant (CNA)
Full-Time Employment
$17.75 - $18.75 / Hour
+ $1200 Sign-on Bonus
""About Us: Avon Health Center, family owned since 1974, provides a range of services, including skilled nursing care, post-acute medical and rehabilitation care, hospice and respite care. We are a 1...""
Apply Now",custom,,Full Time,"CNA, Certified, Certified Nursing Assistant","bonus, sign-on",https://www.carelistings.com/jobs/cna/avon-ct/6351da84e0d7a0622ab05b15?utm_source=&utm_medium=&utm_campaign=&utm_term=&utm_content=,nursing,entry,False,,,,False,certified,,certified; certified nursing assistant; cna,,1.0,0.75,0.9249999999999999
RydersHealth_5767000310084857836,Infection Preventionist / Staff Development Nurse,RydersHealth,"Infection, PR",Infection,PR,,,RydersHealth,https://www.rydershealth.com/jobs/,2025-07-11T18:21:25.545804,"Infection Preventionist / Staff Development Nurse
Ryders Health Management Our family taking care of yours",custom,,,,development,,nursing,entry,False,,,,False,,,,,0.8,0.25,0.6349999999999999
RydersHealth_8180951966195410102,RN Supervisor (night shift),RydersHealth,"RN, SU",RN,SU,,,RydersHealth,https://www.rydershealth.com/jobs/,2025-07-11T18:21:26.909347,"RN Supervisor (night shift)
Douglas Manor",custom,,night shift,RN,,,nursing,senior,False,,,,False,,,,,0.8,0.5,0.71
RydersHealth_4624424187919700260,Dietary Aide,RydersHealth,"Dietary Aide
Mystic, HE","Dietary Aide
Mystic",HE,,,RydersHealth,https://www.rydershealth.com/jobs/,2025-07-11T18:21:29.592064,"Dietary Aide
Mystic Healthcare",custom,,,,,,support,entry,False,,,,False,,,,,0.8,0.0,0.5599999999999999
RydersHealth_617608948303500555,RN/LPN,RydersHealth,"LPN
Mystic, HE","LPN
Mystic",HE,,,RydersHealth,https://www.rydershealth.com/jobs/,2025-07-11T18:21:30.954671,"RN/LPN
Mystic Healthcare",custom,,,"LPN, RN",,,nursing,entry,False,,,,False,,,lpn,,0.8,0.25,0.6349999999999999
RydersHealth_4703540821942827005,MDS Reimbursement Manager,RydersHealth,"MDS Reimbursement Manager
Lord Chamberlain Nursing and, RE","MDS Reimbursement Manager
Lord Chamberlain Nursing and",RE,,,RydersHealth,https://www.rydershealth.com/jobs/,2025-07-11T18:21:32.189331,"MDS Reimbursement Manager
Lord Chamberlain Nursing and Rehabilitation",custom,,,,,,nursing,executive,False,,,,False,,,,,0.8,0.0,0.5599999999999999
RydersHealth_2581764645283579251,Front Desk Receptionist,RydersHealth,"Front Desk Receptionist, BE",Front Desk Receptionist,BE,,,RydersHealth,https://www.rydershealth.com/jobs/,2025-07-11T18:21:33.321715,"Front Desk Receptionist
Bel-Air Manor Our family taking care of yours",custom,,,,,,support,entry,False,,,,False,,,,,0.8,0.0,0.5599999999999999
RydersHealth_6243486391542740809,Occupational Therapist,RydersHealth,"Occupational Therapist
Mystic, HE","Occupational Therapist
Mystic",HE,,,RydersHealth,https://www.rydershealth.com/jobs/,2025-07-11T18:21:34.695984,"Occupational Therapist
Mystic Healthcare",custom,,,,,,therapy,entry,False,,,,False,,,,,0.8,0.0,0.5599999999999999
