source_site,search_url,role,state,city,zip_code,location_scope,location_source,parse_location?,notes,setting_type,,,,,,,,,,,,,,,,
Home Instead,https://www.homeinstead.com/home-care-jobs/search/?q=Indiana,ALL_MATCHING,IN,,,state,card body,Yes,"State-level job search feed, Parse city/zip from each job for proper routing	",home_care,,,,,,,,,,,,,,,,
Home Instead,https://www.homeinstead.com/home-care-jobs/search/?q=Iowa,ALL_MATCHING,IA,,,state,card body,Yes,"State-level job search feed, Parse city/zip from each job for proper routing	",home_care,,,,,,,,,,,,,,,,
Home Instead,https://www.homeinstead.com/home-care-jobs/search/?q=Kansas,ALL_MATCHING,KS,,,state,card body,Yes,"State-level job search feed, Parse city/zip from each job for proper routing	",home_care,,,,,,,,,,,,,,,,
Home Instead,https://www.homeinstead.com/home-care-jobs/search/?q=Kentucky,ALL_MATCHING,KY,,,state,card body,Yes,"State-level job search feed, Parse city/zip from each job for proper routing	",home_care,,,,,,,,,,,,,,,,
Home Instead,https://www.homeinstead.com/home-care-jobs/search/?q=Louisiana,ALL_MATCHING,LA,,,state,card body,Yes,"State-level job search feed, Parse city/zip from each job for proper routing	",home_care,,,,,,,,,,,,,,,,
Home Instead,https://www.homeinstead.com/home-care-jobs/search/?q=Maine,ALL_MATCHING,ME,,,state,card body,Yes,"State-level job search feed, Parse city/zip from each job for proper routing	",home_care,,,,,,,,,,,,,,,,
Home Instead,https://www.homeinstead.com/home-care-jobs/search/?q=Maryland,ALL_MATCHING,MD,,,state,card body,Yes,"State-level job search feed, Parse city/zip from each job for proper routing	",home_care,,,,,,,,,,,,,,,,
Home Instead,https://www.homeinstead.com/home-care-jobs/search/?q=Massachusetts,ALL_MATCHING,MA,,,state,card body,Yes,"State-level job search feed, Parse city/zip from each job for proper routing	",home_care,,,,,,,,,,,,,,,,
Home Instead,https://www.homeinstead.com/home-care-jobs/search/?q=Michigan,ALL_MATCHING,MI,,,state,card body,Yes,"State-level job search feed, Parse city/zip from each job for proper routing	",home_care,,,,,,,,,,,,,,,,
Home Instead,https://www.homeinstead.com/home-care-jobs/search/?q=Minnesota,ALL_MATCHING,MN,,,state,card body,Yes,"State-level job search feed, Parse city/zip from each job for proper routing	",home_care,,,,,,,,,,,,,,,,
Home Instead,https://www.homeinstead.com/home-care-jobs/search/?q=Mississippi,ALL_MATCHING,MS,,,state,card body,Yes,"State-level job search feed, Parse city/zip from each job for proper routing	",home_care,,,,,,,,,,,,,,,,
Home Instead,https://www.homeinstead.com/home-care-jobs/search/?q=Missouri,ALL_MATCHING,MO,,,state,card body,Yes,"State-level job search feed, Parse city/zip from each job for proper routing	",home_care,,,,,,,,,,,,,,,,
Home Instead,https://www.homeinstead.com/home-care-jobs/search/?q=Montana,ALL_MATCHING,MT,,,state,card body,Yes,"State-level job search feed, Parse city/zip from each job for proper routing	",home_care,,,,,,,,,,,,,,,,
Home Instead,https://www.homeinstead.com/home-care-jobs/search/?q=Nebraska,ALL_MATCHING,NE,,,state,card body,Yes,"State-level job search feed, Parse city/zip from each job for proper routing	",home_care,,,,,,,,,,,,,,,,
Home Instead,https://www.homeinstead.com/home-care-jobs/search/?q=Nevada,ALL_MATCHING,NV,,,state,card body,Yes,"State-level job search feed, Parse city/zip from each job for proper routing	",home_care,,,,,,,,,,,,,,,,
Home Instead,https://www.homeinstead.com/home-care-jobs/search/?q=New%20Hampshire,ALL_MATCHING,NH,,,state,card body,Yes,"State-level job search feed, Parse city/zip from each job for proper routing	",home_care,,,,,,,,,,,,,,,,
Home Instead,https://www.homeinstead.com/home-care-jobs/search/?q=New%20Jersey,ALL_MATCHING,NJ,,,state,card body,Yes,"State-level job search feed, Parse city/zip from each job for proper routing	",home_care,,,,,,,,,,,,,,,,
Home Instead,https://www.homeinstead.com/home-care-jobs/search/?q=New%20Mexico,ALL_MATCHING,NM,,,state,card body,Yes,"State-level job search feed, Parse city/zip from each job for proper routing	",home_care,,,,,,,,,,,,,,,,
Home Instead,https://www.homeinstead.com/home-care-jobs/search/?q=New%20York,ALL_MATCHING,NY,,,state,card body,Yes,"State-level job search feed, Parse city/zip from each job for proper routing	",home_care,,,,,,,,,,,,,,,,
Home Instead,https://www.homeinstead.com/home-care-jobs/search/?q=North%20Carolina,ALL_MATCHING,NC,,,state,card body,Yes,"State-level job search feed, Parse city/zip from each job for proper routing	",home_care,,,,,,,,,,,,,,,,
Home Instead,https://www.homeinstead.com/home-care-jobs/search/?q=North%20Dakota,ALL_MATCHING,ND,,,state,card body,Yes,"State-level job search feed, Parse city/zip from each job for proper routing	",home_care,,,,,,,,,,,,,,,,
Home Instead,https://www.homeinstead.com/home-care-jobs/search/?q=Ohio,ALL_MATCHING,OH,,,state,card body,Yes,"State-level job search feed, Parse city/zip from each job for proper routing	",home_care,,,,,,,,,,,,,,,,
Home Instead,https://www.homeinstead.com/home-care-jobs/search/?q=Oklahoma,ALL_MATCHING,OK,,,state,card body,Yes,"State-level job search feed, Parse city/zip from each job for proper routing	",home_care,,,,,,,,,,,,,,,,
Home Instead,https://www.homeinstead.com/home-care-jobs/search/?q=Oregon,ALL_MATCHING,OR,,,state,card body,Yes,"State-level job search feed, Parse city/zip from each job for proper routing	",home_care,,,,,,,,,,,,,,,,
Home Instead,https://www.homeinstead.com/home-care-jobs/search/?q=Pennsylvania,ALL_MATCHING,PA,,,state,card body,Yes,"State-level job search feed, Parse city/zip from each job for proper routing	",home_care,,,,,,,,,,,,,,,,
Home Instead,https://www.homeinstead.com/home-care-jobs/search/?q=Rhode%20Island,ALL_MATCHING,RI,,,state,card body,Yes,"State-level job search feed, Parse city/zip from each job for proper routing	",home_care,,,,,,,,,,,,,,,,
Home Instead,https://www.homeinstead.com/home-care-jobs/search/?q=South%20Carolina,ALL_MATCHING,SC,,,state,card body,Yes,"State-level job search feed, Parse city/zip from each job for proper routing	",home_care,,,,,,,,,,,,,,,,
Home Instead,https://www.homeinstead.com/home-care-jobs/search/?q=South%20Dakota,ALL_MATCHING,SD,,,state,card body,Yes,"State-level job search feed, Parse city/zip from each job for proper routing	",home_care,,,,,,,,,,,,,,,,
Home Instead,https://www.homeinstead.com/home-care-jobs/search/?q=Tennessee,ALL_MATCHING,TN,,,state,card body,Yes,"State-level job search feed, Parse city/zip from each job for proper routing	",home_care,,,,,,,,,,,,,,,,
Home Instead,https://www.homeinstead.com/home-care-jobs/search/?q=Texas,ALL_MATCHING,TX,,,state,card body,Yes,"State-level job search feed, Parse city/zip from each job for proper routing	",home_care,,,,,,,,,,,,,,,,
Home Instead,https://www.homeinstead.com/home-care-jobs/search/?q=Utah,ALL_MATCHING,UT,,,state,card body,Yes,"State-level job search feed, Parse city/zip from each job for proper routing	",home_care,,,,,,,,,,,,,,,,
Home Instead,https://www.homeinstead.com/home-care-jobs/search/?q=Vermont,ALL_MATCHING,VT,,,state,card body,Yes,"State-level job search feed, Parse city/zip from each job for proper routing	",home_care,,,,,,,,,,,,,,,,
Home Instead,https://www.homeinstead.com/home-care-jobs/search/?q=Virginia,ALL_MATCHING,VA,,,state,card body,Yes,"State-level job search feed, Parse city/zip from each job for proper routing	",home_care,,,,,,,,,,,,,,,,
Home Instead,https://www.homeinstead.com/home-care-jobs/search/?q=Washington,ALL_MATCHING,WA,,,state,card body,Yes,"State-level job search feed, Parse city/zip from each job for proper routing	",home_care,,,,,,,,,,,,,,,,
Home Instead,https://www.homeinstead.com/home-care-jobs/search/?q=West%20Virginia,ALL_MATCHING,WV,,,state,card body,Yes,"State-level job search feed, Parse city/zip from each job for proper routing	",home_care,,,,,,,,,,,,,,,,
Home Instead,https://www.homeinstead.com/home-care-jobs/search/?q=Wisconsin,ALL_MATCHING,WI,,,state,card body,Yes,"State-level job search feed, Parse city/zip from each job for proper routing	",home_care,,,,,,,,,,,,,,,,
Home Instead,https://www.homeinstead.com/home-care-jobs/search/?q=Wyoming,ALL_MATCHING,WY,,,state,card body,Yes,"State-level job search feed, Parse city/zip from each job for proper routing        ",home_care,,,,,,,,,,,,,,,,
Salmon Health and Retirement,https://workforcenow.adp.com/mascsr/default/mdf/recruitment/recruitment.html?cid=ab1e132a-3473-4c05-b218-5122e60081b0&ccId=19000101_000001&type=JS&lang=en_US,ALL_MATCHING,MA,,,multi,card body,Yes,ADP ATS. Must parse role + location from job cards,mixed,,,,,,,,,,,,,,,,
CareOne Senior Living,https://fa-eqgc-saasfaprod1.fa.ocs.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_2/jobs?mode=location,ALL_MATCHING,,,,multi,card body,Yes,"Oracle HCM portal. Scraper must extract role and location from card
",mixed,,,,,,,,,,,,,,,,
FALL RIVER HEALTHCARE,https://fallriver.employ.onshift.com/job_positions/browse,ALL_MATCHING,MA,FALL RIVER,2720,fixed,static,No,"Single-site OnShift employer in Fall River, MA",snf,,,,,,,,,,,,,,,,
FITCHBURG HEALTHCARE,https://fitchburg.employ.onshift.com/job_positions/browse,ALL_MATCHING,MA,FITCHBURG,1420,fixed,static,No,"Single-site OnShift employer in Fitchburg, MA",snf,,,,,,,,,,,,,,,,
GARDEN PLACE HEALTHCARE,https://gardenplace.employ.onshift.com/job_positions/browse,ALL_MATCHING,MA,ATTLEBORO,2703,fixed,static,No,"Single-site OnShift employer in Attleboro, MA",snf,,,,,,,,,,,,,,,,
LEE HEALTHCARE,https://lee.employ.onshift.com/job_positions/browse,ALL_MATCHING,MA,LEE,1238,fixed,static,No,"Single-site OnShift employer in Lee, MA",snf,,,,,,,,,,,,,,,,
MELROSE HEALTHCARE,https://melrose.employ.onshift.com/job_positions/browse,ALL_MATCHING,MA,MELROSE,2176,fixed,static,No,"Single-site OnShift employer in Melrose, MA",snf,,,,,,,,,,,,,,,,
NORWOOD HEALTHCARE,https://norwood.employ.onshift.com/job_positions/browse,ALL_MATCHING,MA,NORWOOD,2062,fixed,static,No,"Single-site OnShift employer in Norwood, MA",snf,,,,,,,,,,,,,,,,
OAKHILL HEALTHCARE,https://oakhill.employ.onshift.com/job_positions/browse,ALL_MATCHING,MA,MIDDLEBOROUGH,2346,fixed,static,No,"Single-site OnShift employer in Middleborough, MA",snf,,,,,,,,,,,,,,,,
PLYMOUTH HARBORSIDE HEALTHCARE,https://plymouth.employ.onshift.com/job_positions/browse,ALL_MATCHING,MA,PLYMOUTH,2360,fixed,static,No,"Single-site OnShift employer in Plymouth, MA",snf,,,,,,,,,,,,,,,,
ELMHURST HEALTHCARE (THE),https://elmhurst.employ.onshift.com/job_positions/browse,ALL_MATCHING,MA,MELROSE,2176,fixed,static,No,"Single-site OnShift employer in Melrose, MA",snf,,,,,,,,,,,,,,,,
HERMITAGE HEALTHCARE (THE),https://the-hermitage.employ.onshift.com/job_positions/browse,ALL_MATCHING,MA,WORCESTER,1602,fixed,static,No,"Single-site OnShift employer in Worcester, MA",snf,,,,,,,,,,,,,,,,
The Landing at Laurel Lake,https://laurellake.employ.onshift.com/job_positions/browse,ALL_MATCHING,MA,Lee,1238,fixed,static,No,"Single-site OnShift employer in Lee, MA",snf,,,,,,,,,,,,,,,,
WEDGEMERE HEALTHCARE,https://wedgemere.employ.onshift.com/job_positions/browse,ALL_MATCHING,MA,TAUNTON,2780,fixed,static,No,"Single-site OnShift employer in Taunton, MA",snf,,,,,,,,,,,,,,,,
WEST NEWTON HEALTHCARE,https://westnewton.employ.onshift.com/job_positions/browse,ALL_MATCHING,MA,NEWTON,2465,fixed,static,No,"Single-site OnShift employer in Newton, MA",snf,,,,,,,,,,,,,,,,
WESTBOROUGH HEALTHCARE,https://westborough.employ.onshift.com/job_positions/browse,ALL_MATCHING,MA,WESTBOROUGH,1581,fixed,static,No,"Single-site OnShift employer in Westborough, MA",snf,,,,,,,,,,,,,,,,
AdviniaCare,https://www.adviniacare.com/jobs/,ALL_MATCHING,,,,multi,card body,Yes,"Multi-location, multi-role feed. Scraper must extract title and location.",snf,,,,,,,,,,,,,,,,
Wingate,https://myjobs.adp.com/wingatelivingcareers/cx/job-listing,ALL_MATCHING,MA,,,state,card body,Yes,"Multi-location, multi-role feed. Scraper must extract title and location.",,,,,,,,,,,,,,,,,
"Colonial Health & Rehab Center of Plainfield, LLC",https://colonialhr.com/careers/,ALL_MATCHING,CT,Plainfield,6374,fixed,static,No,Facility-specific site,snf,,,,,,,,,,,,,,,,
Connecticut Baptist Homes,https://www.ctbaptisthomes.org/careers,ALL_MATCHING,CT,Meriden,6450,fixed,static,No,Facility-specific site,snf,,,,,,,,,,,,,,,,
Elim Park Baptist Home,https://www.paycomonline.net/v4/ats/web.php/jobs?clientkey=180516033B69A146A2841F6A7865A478,ALL_MATCHING,CT,Cheshire,6410,fixed,static,No,Facility-specific site,assisted_living,,,,,,,,,,,,,,,,
Gladeview Health Care Center,https://www.gladeviewcares.com/Employment/index.html,ALL_MATCHING,CT,Old Saybrook,6475,fixed,static,No,Facility-specific site,snf,,,,,,,,,,,,,,,,
Grimes Center,https://jobs.ynhhs.org/jobs?view=search&keywords=grimes&sortBy=relevance&page=1,ALL_MATCHING,CT,New Haven,6511,fixed,static,No,Facility-specific site,snf,,,,,,,,,,,,,,,,
Benchmark,https://jobs.dayforcehcm.com/en-US/benchmark/CANDIDATEPORTAL,ALL_MATCHING,,,,multi,card body,Yes,Multi-location or ATS feed; extract location per job,assisted_living,,,,,,,,,,,,,,,,
EPOCH,https://careers.hireology.com/epochseniorliving,ALL_MATCHING,,,,multi,card body,Yes,Multi-location or ATS feed; extract location per job,assisted_living,,,,,,,,,,,,,,,,
VNA Care,https://careers.vnacare.org/jobs.aspx,ALL_MATCHING,,,,multi,card body,Yes,Multi-location or ATS feed; extract location per job,home_care,,,,,,,,,,,,,,,,
Mozaic Senior Services,https://mozaicsl.applicantpool.com/jobs/,ALL_MATCHING,,,,multi,card body,Yes,Multi-location or ATS feed; extract location per job,assisted_living,,,,,,,,,,,,,,,,
"Mary Wade Home, Inc., The",https://www.paycomonline.net/v4/ats/web.php/jobs?clientkey=0521B54859A716A26956A48336337782#join-talent-community,ALL_MATCHING,CT,New Haven,6513,fixed,static,No,Facility-specific site,snf,,,,,,,,,,,,,,,,
McLean Health Center,https://mcleancare.org/careers/,ALL_MATCHING,CT,Simsbury,6070,fixed,static,No,Facility-specific site,mixed,,,,,,,,,,,,,,,,
The Villa at Stamford,https://stamfordvilla.org/careers/,ALL_MATCHING,CT,Stamford,6902,fixed,static,No,Single-site facility,assisted_living,,,,,,,,,,,,,,,,
Whitney Rehabilitation Care Center,https://careers-whitneyrehab.icims.com/jobs/search?hashed=-625911698&mobile=false&width=2052&height=500&bga=true&needsRedirect=false&jan1offset=-300&jun1offset=-240,ALL_MATCHING,CT,Hamden,6517,fixed,static,No,Single-site facility,snf,,,,,,,,,,,,,,,,
Seabury Health Center,https://workforcenow.adp.com/mascsr/default/mdf/recruitment/recruitment.html?cid=e850fd5f-9193-432e-ab86-502e2790d6fe&ccId=19000101_000001&type=MP&lang=en_US,ALL_MATCHING,CT,Bloomfield,6002,fixed,static,No,Single-site facility,mixed,,,,,,,,,,,,,,,,
Meriden Health and Rehab,https://meridenrehab.com/careers/,ALL_MATCHING,CT,Meriden,6451,fixed,static,No,Single-site facility,snf,,,,,,,,,,,,,,,,
Nathaniel Witherell,https://www.governmentjobs.com/careers/greenwichct?department%5B0%5D=NATHANIEL%20WITHERELL&sort=PositionTitle%7CAscending,ALL_MATCHING,CT,Greenwich,6830,fixed,static,No,Single-site facility,snf,,,,,,,,,,,,,,,,
Beechwood Post-Acute & Transitional Care,https://www.beechwoodrehab.net/careers,ALL_MATCHING,CT,New London,6320,fixed,static,No,Single-site facility,snf,,,,,,,,,,,,,,,,
Noble Horizons,https://noblehorizons.org/about/career-opportunities/,ALL_MATCHING,CT,Salisbury,6068,fixed,static,No,Single-site facility,assisted_living,,,,,,,,,,,,,,,,
"Notre Dame Conv. Home, Inc.",https://ndhrehab.org/careers/,ALL_MATCHING,CT,Norwich,6360,fixed,static,No,Single-site facility,snf,,,,,,,,,,,,,,,,
Orange Health Care Center,http://orange-healthcare.com/website/publish/employment/employmentList.php?1,ALL_MATCHING,CT,Orange,6477,fixed,static,No,Single-site facility,snf,,,,,,,,,,,,,,,,
Covenant Living,https://careers.covliving.org/global/en/search-results,ALL_MATCHING,,,,multi,card body,Yes,Multi-location or ATS feed; extract location per job,assisted_living,,,,,,,,,,,,,,,,
Saint Joseph's Living Center,https://www.sjlivingcenter.org/career-opportunities/,ALL_MATCHING,CT,Windham,6280,fixed,static,No,Single-site facility,snf,,,,,,,,,,,,,,,,
Skyview Rehab and Nursing,https://recruiting.paylocity.com/recruiting/jobs/All/50df8651-aa45-4266-9fa5-56fb8c912d44/Sky-View-Rehabilitation-Health-Care-Center,ALL_MATCHING,CT,Wallingford,6492,fixed,static,No,Single-site facility,snf,,,,,,,,,,,,,,,,
Westview Health Care Center,https://westviewhcc.com/careers.html,ALL_MATCHING,CT,Dayville,6241,fixed,static,No,Single-site facility,snf,,,,,,,,,,,,,,,,
Whispering Pines Rehabilitation and Nursing Center,https://wprnc.com/careers/,ALL_MATCHING,CT,East Haven,6512,fixed,static,No,Single-site facility,snf,,,,,,,,,,,,,,,,
LCB Senior Living,https://www.paycomonline.net/v4/ats/web.php/jobs?clientkey=E3CC4AFB47AA6C8DDFE96BF0D1042480,ALL_MATCHING,,,,multi,card body,Yes,Multi-location or ATS feed; extract location per job,assisted_living,,,,,,,,,,,,,,,,
Harbor Chase,https://recruiting.ultipro.com/HAR1012/JobBoard/c8658d95-b2fe-7c84-9ea4-273644487cd4/?q=&o=postedDateDesc,ALL_MATCHING,,,,multi,card body,Yes,Multi-location or ATS feed; extract location per job,assisted_living,,,,,,,,,,,,,,,,
The Arbors & The Ivy,https://sites.hireology.com/thearborsassistedlivingresidentialcommunities/jobs.html,ALL_MATCHING,,,,multi,card body,Yes,Multi-location or ATS feed; extract location per job,assisted_living,,,,,,,,,,,,,,,,
Oak Hill,https://jobs.dayforcehcm.com/en-US/oakhill/OakHillDefaultPostingSite,ALL_MATCHING,,,,multi,card body,Yes,Multi-location or ATS feed; extract location per job,mixed,,,,,,,,,,,,,,,,
Hallkeen,https://www.hallkeen.com/careers,ALL_MATCHING,,,,multi,card body,Yes,Multi-location or ATS feed; extract location per job,assisted_living,,,,,,,,,,,,,,,,
The Retreat Assisted Living,https://workforcenow.adp.com/mascsr/default/mdf/recruitment/recruitment.html?cid=562bea23-2b6e-4477-9c0a-adc42c796344,ALL_MATCHING,CT,Hartford,6106,fixed,static,No,Single-site facility,assisted_living,,,,,,,,,,,,,,,,
ProMedica,https://www.promedica.org/promedicacareers/search-jobs?near=&facility_names=Assisted+Living+and+Memory+Care,ALL_MATCHING,,,,multi,card body,Yes,Multi-location or ATS feed; extract location per job,assisted_living,,,,,,,,,,,,,,,,
Brookdale,https://careers.brookdale.com/en/jobs.html#/search?page=1,ALL_MATCHING,,,,multi,card body,Yes,Multi-location or ATS feed; extract location per job,assisted_living,,,,,,,,,,,,,,,,
IntelyCare - StaffDNA,https://www.intelycare.com/jobs/?listing_page=1&employer_id=5008017,ALL_MATCHING,,,,multi,card body,Yes,ATS feed for StaffDNA via IntelyCare; parse city/state from job cards,,,,,,,,,,,,,,,,,
Watermark Retirement Communities,https://careers.hireology.com/watermarkretirementcommunitiesinc,ALL_MATCHING,,,,multi,card body,Yes,Multi-location or ATS feed; extract location per job,assisted_living,,,,,,,,,,,,,,,,
