id,title,company,location,city,state,description,requirements,salary,job_type,url,source,source_url,scraped_at,platform
National Healthcare Associates_7811646138898687750,Careers,National Healthcare Associates,"About
Services
Locations
Careers
Conta, CT","About
Services
Locations
Careers
Conta",CT,"About
Services
Locations
Careers
Contact Us",Requirements not specified,Salary not specified,Full-time,https://nhca.com/,National Healthcare Associates,https://careers-nathealthcare.icims.com/jobs/search?ss=1&searchRelation=keyword_all,2025-07-10T19:02:10.646270,icims
National Healthcare Associates_5483074947272231933,Life Happens Here.,National Healthcare Associates,"Contact Us
About National
Career Opportunities
Find a Location
Conta, CT","Contact Us
About National
Career Opportunities
Find a Location
Conta",CT,"Life Happens Here.
Contact Us
About National
Career Opportunities
Find a Location
Contact Us
Admissions Application
Payment Sources
Compliance
Privacy Policy
Notice of Privacy Practices
ⓒ 2022 National Health Care Associates. All Rights Reserved.",Requirements not specified,Salary not specified,Full-time,https://c-13329-20230208-nhca-com.i.icims.com/contact/,National Healthcare Associates,https://careers-nathealthcare.icims.com/jobs/search?ss=1&searchRelation=keyword_all,2025-07-10T19:02:13.797536,icims
Harbor Chase_2380949805185694802,Licensed Practical Nurse ( LPN ) PRN,Harbor Chase,"Palm Beach Gardens, FL 33418, USA",Palm Beach Gardens,FL,"Licensed Practical Nurse ( LPN ) PRN
Jul 10, 2025
Job Category: Resident Care-AL
Requisition Number: LICEN021411
Schedule: Part Time
Job Location Type: On-site




Palm Beach Gardens, FL 33418, USA





PRN LPN needed. Provides direct and individual nursing care to assigned residents based on nursing standards and under the supervision of the Director of Resident Care (DRC). Also maintains compliance with all state and federal regulations and the standards of HRA.",Requirements not specified,Salary not specified,Part-time,https://recruiting.ultipro.com/HAR1012/JobBoard/c8658d95-b2fe-7c84-9ea4-273644487cd4/OpportunityDetail?opportunityId=40d4b69f-1a06-4f12-aec9-1d224ff32432,Harbor Chase,https://recruiting.ultipro.com/HAR1012/JobBoard/c8658d95-b2fe-7c84-9ea4-273644487cd4/?q=&o=postedDateDesc,2025-07-11T00:49:55.103492,ultipro
Harbor Chase_6212368089014053561,Licensed Practical Nurse (LPN),Harbor Chase,"Coral Springs, FL 33065, USA",Coral Springs,FL,"Licensed Practical Nurse (LPN)
Jul 10, 2025
Job Category: Resident Care-AL
Requisition Number: LICEN021407
Schedule: Part Time




Coral Springs, FL 33065, USA





Please only apply if you have a flexible schedule and understand that you are expected to fill in shifts as needed to the best of your ability. We are seeking a per diem LPN candidate with experience in either Assisted Living, Skilled Nursing, or Home Health with ALF experience, and possesses a passion for helping seniors. The shifts...","ed Nursing, or Home Health with ALF experience, and possesses a passion for helping seniors. The shifts available are for every other weekend.",Salary not specified,Part-time,https://recruiting.ultipro.com/HAR1012/JobBoard/c8658d95-b2fe-7c84-9ea4-273644487cd4/OpportunityDetail?opportunityId=1fdda9d8-e6df-45aa-a258-9de7ac0835ca,Harbor Chase,https://recruiting.ultipro.com/HAR1012/JobBoard/c8658d95-b2fe-7c84-9ea4-273644487cd4/?q=&o=postedDateDesc,2025-07-11T00:49:56.973183,ultipro
Harbor Chase_7318863248303719024,AL Medication Assistant,Harbor Chase,"Boynton Beach, FL 33436, USA",Boynton Beach,FL,"AL Medication Assistant
Jul 9, 2025
Job Category: Resident Care-AL
Requisition Number: ALMED021406
Schedule: Full Time




Boynton Beach, FL 33436, USA





A Medication Assistant, also known as a Certified Medication Aide (CMA) or Medication Technician, primarily administers medications to patients in a healthcare setting, under the supervision of a licensed nurse. They also play a crucial role in patient care by documenting medication administration, monitoring patient responses, and reporting...",Requirements not specified,Salary not specified,Full-time,https://recruiting.ultipro.com/HAR1012/JobBoard/c8658d95-b2fe-7c84-9ea4-273644487cd4/OpportunityDetail?opportunityId=65cc5858-3d20-4481-b98b-4d2fe500ac70,Harbor Chase,https://recruiting.ultipro.com/HAR1012/JobBoard/c8658d95-b2fe-7c84-9ea4-273644487cd4/?q=&o=postedDateDesc,2025-07-11T00:49:58.789781,ultipro
Harbor Chase_4553315264971391475,LPN LVN-AL,Harbor Chase,"Boynton Beach, FL 33436, USA",Boynton Beach,FL,"LPN LVN-AL
Jul 9, 2025
Job Category: Resident Care-AL
Requisition Number: LPNLV021405
Schedule: Full Time
Job Location Type: On-site




Boynton Beach, FL 33436, USA





Provides direct and individual nursing care to assigned residents based on nursing standards and under the supervision of the Director of Resident Care (DRC). Also maintains compliance with all state and federal regulations and the standards of HRA.",Requirements not specified,Salary not specified,Full-time,https://recruiting.ultipro.com/HAR1012/JobBoard/c8658d95-b2fe-7c84-9ea4-273644487cd4/OpportunityDetail?opportunityId=dbf90243-4f9b-4ea0-80c7-c41e84cbd290,Harbor Chase,https://recruiting.ultipro.com/HAR1012/JobBoard/c8658d95-b2fe-7c84-9ea4-273644487cd4/?q=&o=postedDateDesc,2025-07-11T00:50:00.777056,ultipro
Harbor Chase_3207045111627788581,Director of Sales,Harbor Chase,"Jacksonville, FL 32223, USA",Jacksonville,FL,"Director of Sales
Jul 8, 2025
Job Category: Marketing
Requisition Number: DIREC021403
Schedule: Full Time




Jacksonville, FL 32223, USA





The Director of Sales is responsible for managing occupancy development of the community, actively marketing the community by networking in the local community with residents, families, discharge planners, social service workers, local community business organizations and other referral sources.",Requirements not specified,Salary not specified,Full-time,https://recruiting.ultipro.com/HAR1012/JobBoard/c8658d95-b2fe-7c84-9ea4-273644487cd4/OpportunityDetail?opportunityId=23a50c18-3aca-4d6c-8acb-d0fe2c00e062,Harbor Chase,https://recruiting.ultipro.com/HAR1012/JobBoard/c8658d95-b2fe-7c84-9ea4-273644487cd4/?q=&o=postedDateDesc,2025-07-11T00:50:02.556497,ultipro
Harbor Chase_5059937648784589004,LVN,Harbor Chase,"Southlake, TX 760925236, USA",Southlake,TX,"LVN
Jul 8, 2025
Job Category: Resident Care-AL
Requisition Number: LVN00021401
Schedule: Full Time
Job Location Type: On-site




Southlake, TX 760925236, USA





Provides direct and individual nursing care to assigned residents based on nursing standards and under the supervision of the Director of Resident Care (DRC). Also maintains compliance with all state and federal regulations and the standards of HRA.",Requirements not specified,Salary not specified,Full-time,https://recruiting.ultipro.com/HAR1012/JobBoard/c8658d95-b2fe-7c84-9ea4-273644487cd4/OpportunityDetail?opportunityId=5704e0a9-d72e-4c5e-adf2-03757d064c82,Harbor Chase,https://recruiting.ultipro.com/HAR1012/JobBoard/c8658d95-b2fe-7c84-9ea4-273644487cd4/?q=&o=postedDateDesc,2025-07-11T00:50:04.759657,ultipro
Harbor Chase_5367514561671500147,Life Enrichment Coordinator,Harbor Chase,"Sarasota, FL 34233, USA",Sarasota,FL,"Life Enrichment Coordinator
Jul 8, 2025
Job Category: Life Enrichment
Requisition Number: LIFEE021399
Schedule: Full Time
Job Location Type: On-site




Sarasota, FL 34233, USA





Assisted Living and Memory Care. Assists in the implementation of a comprehensive activities program geared to meet the spiritual, physical, social and psychosocial needs of community residents.",Requirements not specified,Salary not specified,Full-time,https://recruiting.ultipro.com/HAR1012/JobBoard/c8658d95-b2fe-7c84-9ea4-273644487cd4/OpportunityDetail?opportunityId=f4b66277-2581-4300-92fd-f0404e6db113,Harbor Chase,https://recruiting.ultipro.com/HAR1012/JobBoard/c8658d95-b2fe-7c84-9ea4-273644487cd4/?q=&o=postedDateDesc,2025-07-11T00:50:06.461141,ultipro
Harbor Chase_6092818339507433215,Cook,Harbor Chase,"Plano, TX 75024, USA",Plano,TX,"Cook
Jul 8, 2025
Job Category: Dietary
Requisition Number: COOK0021397
Schedule: Full Time




Plano, TX 75024, USA





“In response to the crisis surrounding Coronavirus / COVID-19, HarborChase is offering assistance those whose employment is impacted. We are hiring Full Time, Part Time, and Temporary Associates (PRN). Stewardship is a CORE value at HarborChase, so when our community is in a time of need, we are elated to be able to lend a helping hand.” The cook assists with preparing menus, ...",Requirements not specified,Salary not specified,Full-time,https://recruiting.ultipro.com/HAR1012/JobBoard/c8658d95-b2fe-7c84-9ea4-273644487cd4/OpportunityDetail?opportunityId=6976fc21-dbd6-4a26-85cc-d126441e7a61,Harbor Chase,https://recruiting.ultipro.com/HAR1012/JobBoard/c8658d95-b2fe-7c84-9ea4-273644487cd4/?q=&o=postedDateDesc,2025-07-11T00:50:08.218178,ultipro
Harbor Chase_7294631770375097906,Dir. Of Life Enrichment,Harbor Chase,"Palm Beach Gardens, FL 33418, USA",Palm Beach Gardens,FL,"Dir. Of Life Enrichment
Jul 7, 2025
Job Category: Life Enrichment
Requisition Number: DIROF021396
Schedule: Full Time
Job Location Type: On-site




Palm Beach Gardens, FL 33418, USA





Develops and implements inspiring success oriented Life Enrichment programs designed to meet the overall needs of the residents based on the person centered care approach.",Requirements not specified,Salary not specified,Full-time,https://recruiting.ultipro.com/HAR1012/JobBoard/c8658d95-b2fe-7c84-9ea4-273644487cd4/OpportunityDetail?opportunityId=70d760fd-ec21-419c-bdb8-79b5d00f7ab8,Harbor Chase,https://recruiting.ultipro.com/HAR1012/JobBoard/c8658d95-b2fe-7c84-9ea4-273644487cd4/?q=&o=postedDateDesc,2025-07-11T00:50:09.905431,ultipro
Harbor Chase_1782771340139809330,Life Enrichment Coordinator,Harbor Chase,"Boynton Beach, FL 33436, USA",Boynton Beach,FL,"Life Enrichment Coordinator
Jul 7, 2025
Job Category: Life Enrichment
Requisition Number: LIFEE021395
Schedule: Part Time
Job Location Type: On-site




Boynton Beach, FL 33436, USA





Activities Assistant",Requirements not specified,Salary not specified,Part-time,https://recruiting.ultipro.com/HAR1012/JobBoard/c8658d95-b2fe-7c84-9ea4-273644487cd4/OpportunityDetail?opportunityId=eb6e446a-6c99-412a-8409-e4828e1d1fda,Harbor Chase,https://recruiting.ultipro.com/HAR1012/JobBoard/c8658d95-b2fe-7c84-9ea4-273644487cd4/?q=&o=postedDateDesc,2025-07-11T00:50:11.384351,ultipro
Harbor Chase_6236185817184631412,LPN - Licensed Practical Nurse,Harbor Chase,"Wilmington, DE, USA",Wilmington,DE,"LPN - Licensed Practical Nurse
Jul 7, 2025
Job Category: Resident Care-AL
Requisition Number: LPNLI021394
Schedule: Part Time
Job Location Type: On-site




Wilmington, DE, USA















+1 more
Provides direct and individual nursing care to assigned residents based on nursing standards and under the supervision of the Director of Resident Care (DRC). Also maintains compliance with all state and federal regulations and the standards of HRA",Requirements not specified,Salary not specified,Part-time,https://recruiting.ultipro.com/HAR1012/JobBoard/c8658d95-b2fe-7c84-9ea4-273644487cd4/OpportunityDetail?opportunityId=af5f7e33-a3b4-4216-bd0f-966955db0316,Harbor Chase,https://recruiting.ultipro.com/HAR1012/JobBoard/c8658d95-b2fe-7c84-9ea4-273644487cd4/?q=&o=postedDateDesc,2025-07-11T00:50:12.894926,ultipro
Harbor Chase_9203341217973500025,Licensed Practical Nurse ( LPN ),Harbor Chase,"Palm Beach Gardens, FL 33418, USA",Palm Beach Gardens,FL,"Licensed Practical Nurse ( LPN )
Jul 7, 2025
Job Category: Resident Care-AL
Requisition Number: LICEN021390
Schedule: Full Time
Job Location Type: On-site




Palm Beach Gardens, FL 33418, USA





PRN LPN needed. Provides direct and individual nursing care to assigned residents based on nursing standards and under the supervision of the Director of Resident Care (DRC). Also maintains compliance with all state and federal regulations and the standards of HRA.",Requirements not specified,Salary not specified,Full-time,https://recruiting.ultipro.com/HAR1012/JobBoard/c8658d95-b2fe-7c84-9ea4-273644487cd4/OpportunityDetail?opportunityId=5f913175-c08e-4f65-8d31-73d31ae8b292,Harbor Chase,https://recruiting.ultipro.com/HAR1012/JobBoard/c8658d95-b2fe-7c84-9ea4-273644487cd4/?q=&o=postedDateDesc,2025-07-11T00:50:14.671169,ultipro
Harbor Chase_4220352120247739360,Activities Coordinator,Harbor Chase,"Lady Lake, FL 32159, USA",Lady Lake,FL,"Activities Coordinator
Jul 4, 2025
Job Category: Life Enrichment
Requisition Number: ACTIV021389
Schedule: Part Time
Job Location Type: On-site




Lady Lake, FL 32159, USA





The Activities Coordinator/Life Enrichment Coordinator assists the Life Enrichment Director in the implementation of a comprehensive activities program geared to meet the spiritual, physical, social and psychosocial needs of community residents. This is a part time position.",Requirements not specified,Salary not specified,Part-time,https://recruiting.ultipro.com/HAR1012/JobBoard/c8658d95-b2fe-7c84-9ea4-273644487cd4/OpportunityDetail?opportunityId=033dd908-d258-45b2-96f2-82aed79fa5ef,Harbor Chase,https://recruiting.ultipro.com/HAR1012/JobBoard/c8658d95-b2fe-7c84-9ea4-273644487cd4/?q=&o=postedDateDesc,2025-07-11T00:50:16.290434,ultipro
Harbor Chase_9173255824595463355,Licensed Practical Nurses (LPN),Harbor Chase,"Naperville, IL 60540, USA",Naperville,IL,"Licensed Practical Nurses (LPN)
Jul 3, 2025
Job Category: Resident Care-AL
Requisition Number: LICEN021388
Schedule: Full Time




Naperville, IL 60540, USA





Provides direct and individual nursing care to assigned residents based on nursing standards and under the supervision of the Director of Resident Care (DRC). Also maintains compliance with all state and federal regulations and the standards of HRA.",Requirements not specified,Salary not specified,Full-time,https://recruiting.ultipro.com/HAR1012/JobBoard/c8658d95-b2fe-7c84-9ea4-273644487cd4/OpportunityDetail?opportunityId=da2a521a-ed54-42a3-a475-281d297f65b0,Harbor Chase,https://recruiting.ultipro.com/HAR1012/JobBoard/c8658d95-b2fe-7c84-9ea4-273644487cd4/?q=&o=postedDateDesc,2025-07-11T00:50:18.081202,ultipro
Harbor Chase_2934805314117798295,Director of Life Enrichment,Harbor Chase,"Lady Lake, FL 32159, USA",Lady Lake,FL,"Director of Life Enrichment
Jul 3, 2025
Job Category: Life Enrichment
Requisition Number: DIREC021387
Schedule: Full Time
Job Location Type: On-site




Lady Lake, FL 32159, USA





Develops and implements inspiring success oriented Life Enrichment programs designed to meet the overall needs of the residents based on the person centered care approach.",Requirements not specified,Salary not specified,Full-time,https://recruiting.ultipro.com/HAR1012/JobBoard/c8658d95-b2fe-7c84-9ea4-273644487cd4/OpportunityDetail?opportunityId=3fdd6d3e-75a0-496c-acbf-aafbfe274bb4,Harbor Chase,https://recruiting.ultipro.com/HAR1012/JobBoard/c8658d95-b2fe-7c84-9ea4-273644487cd4/?q=&o=postedDateDesc,2025-07-11T00:50:19.763011,ultipro
Harbor Chase_899778006640752801,CNA - Certified Nursing Assistant,Harbor Chase,"HC of Branford


Branford, CT, USA",Branford,CT,"CNA - Certified Nursing Assistant
Jul 3, 2025
Job Category: Resident Care-AL
Requisition Number: CNACE021384
Schedule: Part Time
Job Location Type: On-site

HC of Branford


Branford, CT, USA





Provides residents assistance with Activities of Daily Living (ADL) while recognizing the importance of their dignity and respect at all times. Part time/full time opportunities available on day and evening shifts!",Requirements not specified,Salary not specified,Full-time,https://recruiting.ultipro.com/HAR1012/JobBoard/c8658d95-b2fe-7c84-9ea4-273644487cd4/OpportunityDetail?opportunityId=4e6894a0-41ca-406d-b32f-341014873a62,Harbor Chase,https://recruiting.ultipro.com/HAR1012/JobBoard/c8658d95-b2fe-7c84-9ea4-273644487cd4/?q=&o=postedDateDesc,2025-07-11T00:50:21.314255,ultipro
Harbor Chase_6362356167218606716,LPN - Licensed Practical Nurse,Harbor Chase,"HC of Branford


Branford, CT, USA",Branford,CT,"LPN - Licensed Practical Nurse
Jul 3, 2025
Job Category: Resident Care-AL
Requisition Number: LPNLI021383
Schedule: Part Time

HC of Branford


Branford, CT, USA





Provides direct individual nursing care to assigned residents based on nursing standards and under the supervision of the Director of Resident Care (DRC). Also maintains compliance with all state and federal regulations and the standards of HRA. All shifts available, full and part time.",Requirements not specified,Salary not specified,Part-time,https://recruiting.ultipro.com/HAR1012/JobBoard/c8658d95-b2fe-7c84-9ea4-273644487cd4/OpportunityDetail?opportunityId=fbfcaf87-aa53-458d-b2a0-141f342203da,Harbor Chase,https://recruiting.ultipro.com/HAR1012/JobBoard/c8658d95-b2fe-7c84-9ea4-273644487cd4/?q=&o=postedDateDesc,2025-07-11T00:50:22.753866,ultipro
Harbor Chase_2165891181289614750,Care Partner,Harbor Chase,"Rock Hill, SC 29730, USA",Rock Hill,SC,"Care Partner
Jul 2, 2025
Job Category: Resident Care-MC
Requisition Number: CAREP021380
Schedule: Full Time
Job Location Type: On-site




Rock Hill, SC 29730, USA





Our approach to senior living isn’t something that just “happened.” It is the outcome of a highly experienced team of professionals with a true calling and commitment to delivering quality senior care services while exemplifying compassion and respect and honoring our Residents dignity. Are you looking for an opportunity to put y...","d team of professionals with a true calling and commitment to delivering quality senior care services while exemplifying compassion and respect and honoring our Residents dignity. Are you looking for an opportunity to put your time, talents and experience to work? Do you have a heart for the elderly? HarborChase or Riverwalk is a Luxury AL and MC Community that offers opportunities that fit most work-life commitments. We provide residents assistance with Activities of Daily Living (ADL) while re...",Salary not specified,Full-time,https://recruiting.ultipro.com/HAR1012/JobBoard/c8658d95-b2fe-7c84-9ea4-273644487cd4/OpportunityDetail?opportunityId=429daf2f-c5d8-4edc-b922-573a44672676,Harbor Chase,https://recruiting.ultipro.com/HAR1012/JobBoard/c8658d95-b2fe-7c84-9ea4-273644487cd4/?q=&o=postedDateDesc,2025-07-11T00:50:24.259731,ultipro
Harbor Chase_7194905491117492304,Director of Memory Care,Harbor Chase,"Orlando, FL 32819, USA",Orlando,FL,"Director of Memory Care
Jul 2, 2025
Job Category: Resident Care-MC
Requisition Number: DIREC021381
Schedule: Full Time
Job Location Type: On-site




Orlando, FL 32819, USA





Has oversight for non-licensed operations in Memory Care. Has the responsibility of the safety and well-being of all MC residents. Actively manages resident safety, life enrichment programs, non-licensed care, social settings in dining, and appropriate dementia environment. Has the ability as an Alzheimer’s trainer, supp...",Requirements not specified,Salary not specified,Full-time,https://recruiting.ultipro.com/HAR1012/JobBoard/c8658d95-b2fe-7c84-9ea4-273644487cd4/OpportunityDetail?opportunityId=6ad7e879-516b-481a-829e-228b52ac8a62,Harbor Chase,https://recruiting.ultipro.com/HAR1012/JobBoard/c8658d95-b2fe-7c84-9ea4-273644487cd4/?q=&o=postedDateDesc,2025-07-11T00:50:25.973923,ultipro
Harbor Chase_5344263101766482440,Licensed Practical Nurse,Harbor Chase,"Lady Lake, FL 32159, USA",Lady Lake,FL,"Licensed Practical Nurse
Jul 1, 2025
Job Category: Resident Care-AL
Requisition Number: LICEN021370
Schedule: Full Time
Job Location Type: On-site




Lady Lake, FL 32159, USA





Provides direct and individual nursing care to assigned residents based on nursing standards and under the supervision of the Director of Resident Care (DRC). Also maintains compliance with all state and federal regulations and the standards of HRA. This position is available as Full Time and PRN for the 2pm-10pm shif...",Requirements not specified,Salary not specified,Full-time,https://recruiting.ultipro.com/HAR1012/JobBoard/c8658d95-b2fe-7c84-9ea4-273644487cd4/OpportunityDetail?opportunityId=93e5a51f-ced3-435e-a5fd-47db8ef0ca43,Harbor Chase,https://recruiting.ultipro.com/HAR1012/JobBoard/c8658d95-b2fe-7c84-9ea4-273644487cd4/?q=&o=postedDateDesc,2025-07-11T00:50:28.060003,ultipro
Harbor Chase_4557866854149930066,Resident Aid,Harbor Chase,"Lady Lake, FL 32159, USA",Lady Lake,FL,"Resident Aid
Jul 1, 2025
Job Category: Resident Care-AL
Requisition Number: RESID021369
Schedule: Full Time
Job Location Type: On-site




Lady Lake, FL 32159, USA





Provides residents assistance with Activities of Daily Living (ADL) while recognizing the importance of their dignity and respect at all times. This position is available as Full Time and PRN for 7am-7pm and 7pm-7am shifts, for Assisted Living and Memory Care.",Requirements not specified,Salary not specified,Full-time,https://recruiting.ultipro.com/HAR1012/JobBoard/c8658d95-b2fe-7c84-9ea4-273644487cd4/OpportunityDetail?opportunityId=f823b465-e453-4f1d-8941-ef5bb9b15f97,Harbor Chase,https://recruiting.ultipro.com/HAR1012/JobBoard/c8658d95-b2fe-7c84-9ea4-273644487cd4/?q=&o=postedDateDesc,2025-07-11T00:50:29.669182,ultipro
Harbor Chase_4302074294894691348,Life Enrichment Coord / Activity Coordinator / Activities staff / Activity Ambassador,Harbor Chase,"Orlando, FL 32819, USA",Orlando,FL,"Life Enrichment Coord / Activity Coordinator / Activities staff / Activity Ambassador
Jun 30, 2025
Job Category: Life Enrichment
Requisition Number: LIFEE021367
Schedule: Part Time
Job Location Type: On-site




Orlando, FL 32819, USA





Assists in the implementation of a comprehensive activities program geared to meet the spiritual, physical, social and psychosocial needs of community residents.",Requirements not specified,Salary not specified,Part-time,https://recruiting.ultipro.com/HAR1012/JobBoard/c8658d95-b2fe-7c84-9ea4-273644487cd4/OpportunityDetail?opportunityId=cfe6846f-8e2f-471c-8a4c-7e6df267a257,Harbor Chase,https://recruiting.ultipro.com/HAR1012/JobBoard/c8658d95-b2fe-7c84-9ea4-273644487cd4/?q=&o=postedDateDesc,2025-07-11T00:50:31.145448,ultipro
Harbor Chase_7161702034065654241,CARE PARTNER,Harbor Chase,"Sarasota, FL 34233, USA",Sarasota,FL,"CARE PARTNER
Jun 28, 2025
Job Category: Resident Care-MC
Requisition Number: CAREP021366
Schedule: Full Time




Sarasota, FL 34233, USA





Full-time and part-time Provides residents assistance with Activities of Daily Living (ADL) while recognizing the importance of their dignity and respect at all times.",Requirements not specified,Salary not specified,Full-time,https://recruiting.ultipro.com/HAR1012/JobBoard/c8658d95-b2fe-7c84-9ea4-273644487cd4/OpportunityDetail?opportunityId=4046cde4-0a1e-4728-be96-b26e92c0fe4d,Harbor Chase,https://recruiting.ultipro.com/HAR1012/JobBoard/c8658d95-b2fe-7c84-9ea4-273644487cd4/?q=&o=postedDateDesc,2025-07-11T00:50:32.656773,ultipro
Harbor Chase_587566452175702534,Executive Director,Harbor Chase,"Jacksonville, FL 32223, USA",Jacksonville,FL,"Executive Director
Jun 25, 2025
Job Category: Adminstration
Requisition Number: EXECU021361
Schedule: Full Time




Jacksonville, FL 32223, USA





The Executive Director is totally responsible for the management of the Assisted Living, Independent Living, Memory Care community and/or Skilled Nursing Facility. Also, ensures high quality resident care services, within budgetary guidelines, while meeting or exceeding Harbor Retirement Associates, LLC, standards, and responsible for compliance wit...","ed Nursing Facility. Also, ensures high quality resident care services, within budgetary guidelines, while meeting or exceeding Harbor Retirement Associates, LLC, standards, and responsible for compliance with federal, state, local and HRA policies, procedures and regulations. The Executive Director is responsible to lead the community by example exhibiting the CORE Values through servant leadership.",Salary not specified,Full-time,https://recruiting.ultipro.com/HAR1012/JobBoard/c8658d95-b2fe-7c84-9ea4-273644487cd4/OpportunityDetail?opportunityId=8e098bc0-aca4-4a06-9cdc-55338e18db0f,Harbor Chase,https://recruiting.ultipro.com/HAR1012/JobBoard/c8658d95-b2fe-7c84-9ea4-273644487cd4/?q=&o=postedDateDesc,2025-07-11T00:50:34.191928,ultipro
Harbor Chase_7931119603821655648,Maintenance Director,Harbor Chase,"Rock Hill, SC 29730, USA",Rock Hill,SC,"Maintenance Director
Jun 25, 2025
Job Category: Maintenance
Requisition Number: MAINT021360
Schedule: Full Time
Job Location Type: On-site




Rock Hill, SC 29730, USA





We have a terrific opportunity for a qualified Maintenance Director who is committed to maintaining a clean community and leading a team to achieve excellence every day for our Residents. You would be responsible for leading maintenance systems, vender, employee, resident and their families relationships, overseeing the conti...",Requirements not specified,Salary not specified,Full-time,https://recruiting.ultipro.com/HAR1012/JobBoard/c8658d95-b2fe-7c84-9ea4-273644487cd4/OpportunityDetail?opportunityId=59a7f0b5-62ab-4eee-bfd7-225a327e031b,Harbor Chase,https://recruiting.ultipro.com/HAR1012/JobBoard/c8658d95-b2fe-7c84-9ea4-273644487cd4/?q=&o=postedDateDesc,2025-07-11T00:50:35.760603,ultipro
Harbor Chase_6925115415895798004,MEDICATION ASSISTANT,Harbor Chase,"Daytona Beach, FL 32114, USA",Daytona Beach,FL,"MEDICATION ASSISTANT
Jun 25, 2025
Job Category: Resident Care-AL
Requisition Number: MEDIC021355
Schedule: Full Time
Job Location Type: On-site




Daytona Beach, FL 32114, USA





Assisted Living Medication Assistance. Assists with medications and maintains compliance with all state and federal regulations and the standards of HRA. This role will may be working with our residents in Memory Care who are experiencing Alzheimer's/dementia",Requirements not specified,Salary not specified,Full-time,https://recruiting.ultipro.com/HAR1012/JobBoard/c8658d95-b2fe-7c84-9ea4-273644487cd4/OpportunityDetail?opportunityId=d07ea127-22dd-4161-9368-cf48fe9e58ce,Harbor Chase,https://recruiting.ultipro.com/HAR1012/JobBoard/c8658d95-b2fe-7c84-9ea4-273644487cd4/?q=&o=postedDateDesc,2025-07-11T00:50:37.249187,ultipro
Harbor Chase_4736681419239209942,Medication Assistant ALL SHIFTS,Harbor Chase,"Palm Beach Gardens, FL 33418, USA",Palm Beach Gardens,FL,"Medication Assistant ALL SHIFTS
Jun 24, 2025
Job Category: Resident Care-AL
Requisition Number: MEDIC021351
Schedule: Full Time
Job Location Type: On-site




Palm Beach Gardens, FL 33418, USA





Full time and Part time Med Techs needed for all shifts at luxury assisted living. Assists with medications and maintains compliance with all state and federal regulations and the standards of HRA. Provides residents assistance with Activities of Daily Living (ADL) while recognizing the importance of ...",Requirements not specified,Salary not specified,Full-time,https://recruiting.ultipro.com/HAR1012/JobBoard/c8658d95-b2fe-7c84-9ea4-273644487cd4/OpportunityDetail?opportunityId=3f29ea32-295b-4483-8993-5a39a4ca6c83,Harbor Chase,https://recruiting.ultipro.com/HAR1012/JobBoard/c8658d95-b2fe-7c84-9ea4-273644487cd4/?q=&o=postedDateDesc,2025-07-11T00:50:38.995252,ultipro
Harbor Chase_2691553614534245595,Housekeeper,Harbor Chase,"Palm Beach Gardens, FL 33418, USA",Palm Beach Gardens,FL,"Housekeeper
Jun 24, 2025
Job Category: Housekeeping
Requisition Number: HOUSE021350
Schedule: Full Time
Job Location Type: On-site




Palm Beach Gardens, FL 33418, USA





Full Time Housekeeper needed for Assisted Living and Memory Care",Requirements not specified,Salary not specified,Full-time,https://recruiting.ultipro.com/HAR1012/JobBoard/c8658d95-b2fe-7c84-9ea4-273644487cd4/OpportunityDetail?opportunityId=0e514101-6dfd-48c9-9424-cae4147410ab,Harbor Chase,https://recruiting.ultipro.com/HAR1012/JobBoard/c8658d95-b2fe-7c84-9ea4-273644487cd4/?q=&o=postedDateDesc,2025-07-11T00:50:40.636933,ultipro
Harbor Chase_4845462211485707755,Care Partner (CNA),Harbor Chase,"Coral Springs, FL 33065, USA",Coral Springs,FL,"Care Partner (CNA)
Jun 24, 2025
Job Category: Resident Care-AL
Requisition Number: CAREP021349
Schedule: Part Time




Coral Springs, FL 33065, USA





As Needed Certified Nursing Assistant for Assisted Living Residence Experience as a medication technician is required- must have current certification. -Provides quality care and assistance to residents in accordance with the resident philosophy and policies and resident rights -Adheres to each resident’s Level of Care (LOC), notifies supervisor...","as a medication technician is required- must have current certification. -Provides quality care and assistance to residents in accordance with the resident philosophy and policies and resident rights -Adheres to each resident’s Level of Care (LOC), notifies supervisor of any changes in resident’s condition -Answers and responds to resident calls in a timely manner -Assists residents with Activities of Daily Living (ADL) -Completes assignment sheets daily. -Encourages and escorts residents to and...",Salary not specified,Part-time,https://recruiting.ultipro.com/HAR1012/JobBoard/c8658d95-b2fe-7c84-9ea4-273644487cd4/OpportunityDetail?opportunityId=cbb32ec0-d6c8-4d4b-9d0b-d60a2ba53ddd,Harbor Chase,https://recruiting.ultipro.com/HAR1012/JobBoard/c8658d95-b2fe-7c84-9ea4-273644487cd4/?q=&o=postedDateDesc,2025-07-11T00:50:42.228834,ultipro
