source_site,apply_url,Title,role,Shift(s),employment_type,state,city,zip_code,Description,pay,setting_type
Beechwood Post-Acute & Transitional Care,https://www.beechwoodrehab.net/careers,Director of Nursing (RN) Skilled Nursing Facility,RN,,Full-Time,CT,New London,6320,"Beechwood Health & Rehabiliation Center, a 60 bed Short-Term Rehab and Skilled Nursing Facility located in New London, CT is seeking an enthusiastic and experience Director of Nursing to join our amazing team!

A great opportunity for an ANDS who is ready to take it to the next level.


Summary of position: The primary purpose of the Director of Nursing position is to plan, organize, develop and direct the overall operation of our Nursing Service Department in accordance with current federal, state, and local standards, guidelines, and regulations that govern our Center, and as may be directed by the Administrator and the Medical Director, to ensure that the highest degree of quality care is maintained at all times.

Director of Nursing Requirements:

1. Must possess, a valid CT RN state license and a Nursing Degree from an accredited college or university preferred.

2. Must have, as a minimum, three (3) years of experience as a supervisor in a hospital, nursing care facility, or other related health care facility.

3. Director of Nursing Services experience in a Nursing Facility is preferred but for the right candidate not required.

At Beechwood Health & Rehabilitation Center, we are expanding our team of licensed staff and C.N.A.s to continue providing 5-star quality care. Great place to work, 80% of Beechwood staff would recommend Beechwood to their friends and family. Beechwood is committed to growth and excellence. We recruit only the best of the best, if that is you, come join our team of compassionate caregivers.

The Beechwood Difference.

Top Performer: Consistently ranked as a Top Performer by US News and World Report.
5-Star Quality Care: We pride ourselves on delivering exceptional care.
Home Away from Home: Our facility is designed to be a comfortable, modern, and well-equipped environment for both residents and staff.
Premier Facility: A 60-bed skilled nursing facility offering both short-term and long-term care in New London County.
Experienced Team: Join a community of compassionate caregivers with an average employee tenure of 10 years.
What We Offer:

Enjoyable work environment where you feel supported.
Highest staff to patient ratio in New London
Competitive Wage Structure
Beechwood has been serving the greater New London community for over 50 years. Come see for yourself the difference you can make by joining our family. Contact us today to learn more about these exciting opportunities!

Apply Now and Be Part of the Beechwood difference! an equal opportunity employer.

Benefits for Full time eligible employees include:

Health, Life insurance, disability, and other options

401K

Vacation and Sick time",,snf
Beechwood Post-Acute & Transitional Care,https://www.beechwoodrehab.net/careers,Infection Prevention Staff Development RN,RN,,Full-Time,CT,New London,6320,"Beechwood Health & Rehabiliation Center, located in New London, CT is seeking an enthusiastic and experienced Infection Preventionist/ Staff Development team member!

At Beechwood Health & Rehabilitation Center, we are expanding our team of licensed staff and C.N.A.s to continue providing 5-star quality care. Great place to work, 80% of Beechwood staff would recommend Beechwood to their friends and family. Beechwood is committed to growth and excellence. We recruit only the best of the best, if that is you, come join our team of compassionate caregivers.


The Infection preventionist/Staff development position is responsible for monitoring and overseeing all infection control aspects of our family owned and operated facility as well as provide education on an annual and as needed basis. Candidates must have certification as an Infection Preventionist and or must complete upon hire. Some duties include but are not limited to

Daily/Monthly/Annual infection control rounds
Tracking and trending all Outbreaks, and or antibiotic usage, and infectious diseases.
Participation in the Quarterly Medical staff, QAPI, and Safety meetings.
Conduct and lead monthly infection control meetings
Track certifications and licensure for all licensed nursing staff.
Conduct and track all annual education as well as education needed on an as needed basis
Participate and provide all needed information during annual surveys
Monitor and track Vaccination status for residents, staff, volunteers, etc.
Host COVID, and FLU clinics for staff and residents
Assist with care and services on the nursing units as needed
Oncall rotation
The Beechwood Difference.

Top Performer: Consistently ranked as a Top Performer by US News and World Report.
5-Star Quality Care: We pride ourselves on delivering exceptional care.
Home Away from Home: Our facility is designed to be a comfortable, modern, and well-equipped environment for both residents and staff.
Premier Facility: A 60-bed skilled nursing facility offering both short-term and long-term care in New London County.
Experienced Team: Join a community of compassionate caregivers with an average employee tenure of 10 years.
What We Offer:

Enjoyable work environment where you feel supported.
Highest staff to patient ratio in New London
Competitive Wage Structure
Beechwood has been serving the greater New London community for over 50 years. Come see for yourself the difference you can make by joining our family. Contact us today to learn more about these exciting opportunities!

Apply Now and Be Part of the Beechwood difference! an equal opportunity employer.",,snf
Beechwood Post-Acute & Transitional Care,https://www.beechwoodrehab.net/careers,LPN Charge Nurse | Full-Time ,LPN,"3P-11P, 11p-7a",Full-Time,CT,New London,6320,"""At Beechwood Health & Rehabilitation Center, we are expanding our team of licensed staff and C.N.A.s to continue providing 5-star quality care. Great place to work, 80% of Beechwood staff would recommend Beechwood to their friends and family. Beechwood is committed to growth and excellence. We recruit only the best of the best, if that is you, come join our team of compassionate caregivers.

Opportunities Available:

Full Time 11PM - 7AM and oncall every other weekend.
Part-Time 11PM - 7AM RN Supervisor - 16 hrs. - 24 hrs.
Full Time 3PM - 11PM RN/LPN
Part -Time 3PM - 9PM RN/LPN
Part-Time Weekends RN/LPN
The Beechwood Difference.

Top Performer: Consistently ranked as a Top Performer by US News and World Report.
5-Star Quality Care: We pride ourselves on delivering exceptional care.
Home Away from Home: Our facility is designed to be a comfortable, modern, and well-equipped environment for both residents and staff.
Premier Facility: A 60-bed skilled nursing facility offering both short-term and long-term care in New London County.
Experienced Team: Join a community of compassionate caregivers with an average employee tenure of 10 years.
What We Offer:

Enjoyable work environment where you feel supported.
Highest staff to patient ratio in New London
Competitive Wage Structure
RN $43 - $53 hr.
LPN $33 - $37 hr.
Shift Differentials
Beechwood has been serving the greater New London community for over 50 years. Come see for yourself the difference you can make by joining our family. Contact us today to learn more about these exciting opportunities!

Apply Now and Be Part of the Beechwood difference! an equal opportunity employer""",$33-37,snf
Beechwood Post-Acute & Transitional Care,https://www.beechwoodrehab.net/careers,RN Charge Nurse | Full-Time ,RN,"3P-11P, 11p-7a",Full-Time,CT,New London,6320,"At Beechwood Health & Rehabilitation Center, we are expanding our team of licensed staff and C.N.A.s to continue providing 5-star quality care. Great place to work, 80% of Beechwood staff would recommend Beechwood to their friends and family. Beechwood is committed to growth and excellence. We recruit only the best of the best, if that is you, come join our team of compassionate caregivers.

Opportunities Available:

Full Time 11PM - 7AM and oncall every other weekend.
Part-Time 11PM - 7AM RN Supervisor - 16 hrs. - 24 hrs.
Full Time 3PM - 11PM RN/LPN
Part -Time 3PM - 9PM RN/LPN
Part-Time Weekends RN/LPN
The Beechwood Difference.

Top Performer: Consistently ranked as a Top Performer by US News and World Report.
5-Star Quality Care: We pride ourselves on delivering exceptional care.
Home Away from Home: Our facility is designed to be a comfortable, modern, and well-equipped environment for both residents and staff.
Premier Facility: A 60-bed skilled nursing facility offering both short-term and long-term care in New London County.
Experienced Team: Join a community of compassionate caregivers with an average employee tenure of 10 years.
What We Offer:

Enjoyable work environment where you feel supported.
Highest staff to patient ratio in New London
Competitive Wage Structure
RN $43 - $53 hr.
LPN $33 - $37 hr.
Shift Differentials
Beechwood has been serving the greater New London community for over 50 years. Come see for yourself the difference you can make by joining our family. Contact us today to learn more about these exciting opportunities!

Apply Now and Be Part of the Beechwood difference! an equal opportunity employer",$43-53,snf
Beechwood Post-Acute & Transitional Care,https://www.beechwoodrehab.net/careers,RN Supervisor (24 hours or 16 hours),RN,11p-7a,Part-Time ,CT,New London,6320,"At Beechwood Health & Rehabilitation Center, we are expanding our team of licensed staff and C.N.A.s to continue providing 5-star quality care. Great place to work, 80% of Beechwood staff would recommend Beechwood to their friends and family. Beechwood is committed to growth and excellence. We recruit only the best of the best, if that is you, come join our team of compassionate caregivers.

Opportunities Available:

Full Time 11PM - 7AM and oncall every other weekend.
Part-Time 11PM - 7AM RN Supervisor - 16 hrs. - 24 hrs.
Full Time 3PM - 11PM RN/LPN
Part -Time 3PM - 9PM RN/LPN
Part-Time Weekends RN/LPN
The Beechwood Difference.

Top Performer: Consistently ranked as a Top Performer by US News and World Report.
5-Star Quality Care: We pride ourselves on delivering exceptional care.
Home Away from Home: Our facility is designed to be a comfortable, modern, and well-equipped environment for both residents and staff.
Premier Facility: A 60-bed skilled nursing facility offering both short-term and long-term care in New London County.
Experienced Team: Join a community of compassionate caregivers with an average employee tenure of 10 years.
What We Offer:

Enjoyable work environment where you feel supported.
Highest staff to patient ratio in New London
Competitive Wage Structure
RN $43 - $53 hr.
LPN $33 - $37 hr.
Shift Differentials
Beechwood has been serving the greater New London community for over 50 years. Come see for yourself the difference you can make by joining our family. Contact us today to learn more about these exciting opportunities!

Apply Now and Be Part of the Beechwood difference! an equal opportunity employer",$43-53,snf
Beechwood Post-Acute & Transitional Care,https://www.beechwoodrehab.net/careers,LPN Charge Nurse | Part-Time ,LPN,3p-9p,Part-Time ,CT,New London,6320,"At Beechwood Health & Rehabilitation Center, we are expanding our team of licensed staff and C.N.A.s to continue providing 5-star quality care. Great place to work, 80% of Beechwood staff would recommend Beechwood to their friends and family. Beechwood is committed to growth and excellence. We recruit only the best of the best, if that is you, come join our team of compassionate caregivers.

Opportunities Available:

Full Time 11PM - 7AM and oncall every other weekend.
Part-Time 11PM - 7AM RN Supervisor - 16 hrs. - 24 hrs.
Full Time 3PM - 11PM RN/LPN
Part -Time 3PM - 9PM RN/LPN
Part-Time Weekends RN/LPN
The Beechwood Difference.

Top Performer: Consistently ranked as a Top Performer by US News and World Report.
5-Star Quality Care: We pride ourselves on delivering exceptional care.
Home Away from Home: Our facility is designed to be a comfortable, modern, and well-equipped environment for both residents and staff.
Premier Facility: A 60-bed skilled nursing facility offering both short-term and long-term care in New London County.
Experienced Team: Join a community of compassionate caregivers with an average employee tenure of 10 years.
What We Offer:

Enjoyable work environment where you feel supported.
Highest staff to patient ratio in New London
Competitive Wage Structure
RN $43 - $53 hr.
LPN $33 - $37 hr.
Shift Differentials
Beechwood has been serving the greater New London community for over 50 years. Come see for yourself the difference you can make by joining our family. Contact us today to learn more about these exciting opportunities!

Apply Now and Be Part of the Beechwood difference! an equal opportunity employer",$33-37,snf
Beechwood Post-Acute & Transitional Care,https://www.beechwoodrehab.net/careers,RN Charge Nurse | Part-Time ,RN,3p-9p,Part-Time ,CT,New London,6320,"At Beechwood Health & Rehabilitation Center, we are expanding our team of licensed staff and C.N.A.s to continue providing 5-star quality care. Great place to work, 80% of Beechwood staff would recommend Beechwood to their friends and family. Beechwood is committed to growth and excellence. We recruit only the best of the best, if that is you, come join our team of compassionate caregivers.

Opportunities Available:

Full Time 11PM - 7AM and oncall every other weekend.
Part-Time 11PM - 7AM RN Supervisor - 16 hrs. - 24 hrs.
Full Time 3PM - 11PM RN/LPN
Part -Time 3PM - 9PM RN/LPN
Part-Time Weekends RN/LPN
The Beechwood Difference.

Top Performer: Consistently ranked as a Top Performer by US News and World Report.
5-Star Quality Care: We pride ourselves on delivering exceptional care.
Home Away from Home: Our facility is designed to be a comfortable, modern, and well-equipped environment for both residents and staff.
Premier Facility: A 60-bed skilled nursing facility offering both short-term and long-term care in New London County.
Experienced Team: Join a community of compassionate caregivers with an average employee tenure of 10 years.
What We Offer:

Enjoyable work environment where you feel supported.
Highest staff to patient ratio in New London
Competitive Wage Structure
RN $43 - $53 hr.
LPN $33 - $37 hr.
Shift Differentials
Beechwood has been serving the greater New London community for over 50 years. Come see for yourself the difference you can make by joining our family. Contact us today to learn more about these exciting opportunities!

Apply Now and Be Part of the Beechwood difference! an equal opportunity employer",$43-53,snf
Beechwood Post-Acute & Transitional Care,https://www.beechwoodrehab.net/careers,RN Charge Nurse or Supervisor | Part-Time Weekends,RN,,Part-Time ,CT,New London,6320,"Join an All Star Team - Part Time Weekend Warrior Nurses – Earn an Extra $6/hr!

Beechwood in New London is looking for dedicated Weekend Warrior RNs, LPNs and CNAs who want to make a difference while maximizing their earnings! Work weekends and receive an additional $6 per hour on top of your regular pay and shift differentials. If you're a compassionate caregiver looking for a rewarding weekend opportunity in a supportive and professional environment, we want you on our team! Great place to work, 80% of Beechwood staff would recommend Beechwood to their friends and family. Beechwood is committed to growth and excellence. We recruit only the best of the best, if that is you, come join our team of compassionate caregivers. Apply today and take advantage of this great incentive while providing top-quality care to our residents.


Opportunities Available:


8 to 16 hrs. RN Supervisor 11PM - 7AM Weekends
16 hrs. LPN/RN 7PM - 3PM Every Other Weekend


The Beechwood Difference.


Top Performer: Consistently ranked as a Top Performer by US News and World Report.

5-Star Quality Care: We pride ourselves on delivering exceptional care.

Home Away from Home: Our building is designed to be a comfortable, modern, and well-equipped environment for both residents and staff.

Premier Facility: A 60-bed skilled nursing facility offering both short-term and long-term care in New London County.

Experienced Team: Join a community of compassionate caregivers with an average employee tenure of 10 years.

What We Offer:


Enjoyable work environment where you feel supported.

Highest staff to patient ratio in New London

WEEKEND WARRIOR Wage
RN - $49 - $59

LPN - $39 - $43

PLUS weekend shift differentials!

Beechwood has been serving the greater New London community for over 50 years. Come see for yourself the difference you can make by joining our family. Contact us today to learn more about these exciting opportunities!
Apply Now and Be Part of the Beechwood difference!


Requirements include but are not limited to:


Current CT Nursing License",49-59,snf
Beechwood Post-Acute & Transitional Care,https://www.beechwoodrehab.net/careers,LPN Charge Nurse | Part-Time Weekends,LPN,,Part-Time ,CT,New London,6320,"Join an All Star Team - Part Time Weekend Warrior Nurses – Earn an Extra $6/hr!

Beechwood in New London is looking for dedicated Weekend Warrior RNs, LPNs and CNAs who want to make a difference while maximizing their earnings! Work weekends and receive an additional $6 per hour on top of your regular pay and shift differentials. If you're a compassionate caregiver looking for a rewarding weekend opportunity in a supportive and professional environment, we want you on our team! Great place to work, 80% of Beechwood staff would recommend Beechwood to their friends and family. Beechwood is committed to growth and excellence. We recruit only the best of the best, if that is you, come join our team of compassionate caregivers. Apply today and take advantage of this great incentive while providing top-quality care to our residents.


Opportunities Available:


8 to 16 hrs. RN Supervisor 11PM - 7AM Weekends
16 hrs. LPN/RN 7PM - 3PM Every Other Weekend


The Beechwood Difference.


Top Performer: Consistently ranked as a Top Performer by US News and World Report.

5-Star Quality Care: We pride ourselves on delivering exceptional care.

Home Away from Home: Our building is designed to be a comfortable, modern, and well-equipped environment for both residents and staff.

Premier Facility: A 60-bed skilled nursing facility offering both short-term and long-term care in New London County.

Experienced Team: Join a community of compassionate caregivers with an average employee tenure of 10 years.

What We Offer:


Enjoyable work environment where you feel supported.

Highest staff to patient ratio in New London

WEEKEND WARRIOR Wage
RN - $49 - $59

LPN - $39 - $43

PLUS weekend shift differentials!

Beechwood has been serving the greater New London community for over 50 years. Come see for yourself the difference you can make by joining our family. Contact us today to learn more about these exciting opportunities!
Apply Now and Be Part of the Beechwood difference!


Requirements include but are not limited to:


Current CT Nursing License",39-43,snf
Notre Dame Health and Rehabilitation Center,https://ndhrehab.org/careers/,CNA – Certified Nursing Assistant,CNA,,Full-Time and Part-Time,CT,Norwich,6360,"Are you looking to find your shared sense of purpose, tired of poor work-life balance and burnout; want to make a difference each day and form meaningful relations with a Team and Community that supports each other; then look to Notre Dame Health and Rehabilitation Center where we INSPIRE staff to be their BEST and are PASSIONATE about a strong human approach to CULTURE!

Provides direct care to residents living within our Skilled Nursing Facility. Provides daily ADL care and works under the direct supervision of a Nursing Supervisor.
",,snf
Notre Dame Health and Rehabilitation Center,https://ndhrehab.org/careers/,RN Nursing Supervisor,RN Sup,,Full-Time and Part-Time,CT,Norwich,6360,"Are you looking to find your shared sense of purpose, tired of poor work-life balance and burnout; want to make a difference each day and form meaningful relations with a Team and Community that supports each other; then look to Notre Dame Health and Rehabilitation Center where we INSPIRE staff to be their BEST and are PASSIONATE about a strong human approach to CULTURE!

The Registered Nurse Supervisor applying should have at least 1-5 years RN supervisory experience in the Skilled Nursing industry. The candidate must be able to manage others well and work independently. Critical thinking with emphasis on root cause analysis is a must.",,snf
Orange Health Care Center,https://smartapply.indeed.com/beta/indeedapply/form/contact-info-module,Registered Nurse Supervisor (Every Weekend),RN Sup,10a-6p,Part-Time,CT,Orange,6477,"We are a friendly, small 60 bed 5 star SNF currently seeking dynamic, dedicated and compassionate RN Supervisor For the following :

Every Saturday and Sunday 10am-6pm

Duties include but not limited to:

Admissions and Discharges as needed

Supervision

Assistance with visitor and family concerns

Resident assessments

CT-licensed RN In Good standing, along with Supervisors and Skilled Nursing /Long term care experience

Since 1947, Orange Health Care Center has set the standard for quality long-term care. Celebrating 77 years of service to our communities.

Please send resume to Mroggerman@orange-healthcare.com or call 203-795-0835

Job Type: Part-time

Benefits:

401(k)
Dental insurance
Health insurance
Life insurance
Paid time off
Vision insurance
Schedule:

8 hour shift
Day shift
Every weekend
Experience:

Nursing supervisor: 1 year (Preferred)
License/Certification:

BLS Certification (Preferred)
RN License (Preferred)
Work Location: In person",,snf
Orange Health Care Center,https://smartapply.indeed.com/beta/indeedapply/postresumeapply,LPN (Every OTHER Weekend),LPN,3p-11p,Part-Time,CT,Orange,6477,"We are a friendly, small 60 bed 5 star SNF currently seeking dynamic, dedicated and compassionate LPN For the following positions:

3pm-11pm every other weekend

CT-licensed LPN In Good standing, along with Skilled Nursing /Long term care experience

Since 1947, Orange Health Care Center has set the standard for quality long-term care. Celebrating 77 years of service to our communities.

Please send resume to Mroggeman@orange-healthcare.com or call 203-795-0835

Job Type: Part-time

Benefits:

401(k)
Dental insurance
Health insurance
Life insurance
Paid time off
Vision insurance
Medical Specialty:

Geriatrics
Physical Setting:

Long term care
Nursing home
Supplemental Pay:

Differential pay
Experience:

Nursing: 1 year (Preferred)
License/Certification:

LPN (Required)
Work Location: In person",,snf
