id,title,company,location,city,state,salary,description,overview,requirements,url,source,source_url,scraped_at,tags,setting_type
Autumn Lake_1128574579111938358,Infection Control Nurse,Autumn Lake,"Autumn Lake Healthcare at Norwalk Norwalk, CT",Autumn Lake Healthcare at Norwalk Norwalk,CT,Not specified,"Infection Control Nurse Date added: 03/03/2025 Autumn Lake Healthcare at Norwalk Norwalk, Connecticut","Infection Control Nurse Date added: 03/03/2025 Autumn Lake Healthcare at Norwalk Norwalk, Connecticut",,,Autumn Lake,https://autumnlakehealthcare.com/careers/,2025-07-01T21:38:30.760842,Skilled Nursing Facility (care_setting),snf
Autumn Lake_4227288288813760188,Weekend Nurse Supervisor,Autumn Lake,"Autumn Lake Healthcare at Norwalk Norwalk, CT",Autumn Lake Healthcare at Norwalk Norwalk,CT,Not specified,"Weekend Nurse Supervisor Date added: 07/27/2024 Autumn Lake Healthcare at Norwalk Norwalk, Connecticut","Weekend Nurse Supervisor Date added: 07/27/2024 Autumn Lake Healthcare at Norwalk Norwalk, Connecticut",,,Autumn Lake,https://autumnlakehealthcare.com/careers/,2025-07-01T21:38:31.554266,Weekend Shift (shift); Skilled Nursing Facility (care_setting),snf
Autumn Lake_8180751316843472783,RN Charge Nurse,Autumn Lake,"Autumn Lake Healthcare at Norwalk Norwalk, CT",Autumn Lake Healthcare at Norwalk Norwalk,CT,Not specified,"RN Charge Nurse Date added: 04/16/2024 Autumn Lake Healthcare at Norwalk Norwalk, Connecticut","RN Charge Nurse Date added: 04/16/2024 Autumn Lake Healthcare at Norwalk Norwalk, Connecticut",,,Autumn Lake,https://autumnlakehealthcare.com/careers/,2025-07-01T21:38:32.154946,Skilled Nursing Facility (care_setting),snf
Autumn Lake_5256217332307346601,Certified Nursing Assistant (CNA),Autumn Lake,"Autumn Lake Healthcare at Norwalk Norwalk, CT",Autumn Lake Healthcare at Norwalk Norwalk,CT,Not specified,"Certified Nursing Assistant (CNA) Date added: 03/27/2024 Autumn Lake Healthcare at Norwalk Norwalk, Connecticut","Certified Nursing Assistant (CNA) Date added: 03/27/2024 Autumn Lake Healthcare at Norwalk Norwalk, Connecticut",,,Autumn Lake,https://autumnlakehealthcare.com/careers/,2025-07-01T21:38:32.847072,Skilled Nursing Facility (care_setting),snf
Autumn Lake_333249910504285520,Licensed Practical Nurse (LPN),Autumn Lake,"Autumn Lake Healthcare at Norwalk Norwalk, CT",Autumn Lake Healthcare at Norwalk Norwalk,CT,Not specified,"Licensed Practical Nurse (LPN) Date added: 03/27/2024 Autumn Lake Healthcare at Norwalk Norwalk, Connecticut","Licensed Practical Nurse (LPN) Date added: 03/27/2024 Autumn Lake Healthcare at Norwalk Norwalk, Connecticut",,,Autumn Lake,https://autumnlakehealthcare.com/careers/,2025-07-01T21:38:33.561338,Skilled Nursing Facility (care_setting),snf
Autumn Lake_2746864812906403173,Registered Nurse (RN),Autumn Lake,"Autumn Lake Healthcare at Norwalk Norwalk, CT",Autumn Lake Healthcare at Norwalk Norwalk,CT,Not specified,"Registered Nurse (RN) Date added: 03/27/2024 Autumn Lake Healthcare at Norwalk Norwalk, Connecticut","Registered Nurse (RN) Date added: 03/27/2024 Autumn Lake Healthcare at Norwalk Norwalk, Connecticut",,,Autumn Lake,https://autumnlakehealthcare.com/careers/,2025-07-01T21:38:34.189391,Skilled Nursing Facility (care_setting),snf
Autumn Lake_5715903921360754331,TRD (Therapeutic Recreation Director),Autumn Lake,"Autumn Lake Healthcare at New Britain New Britain, CT",Autumn Lake Healthcare at New Britain New Britain,CT,Not specified,"TRD (Therapeutic Recreation Director) Date added: 05/05/2025 Autumn Lake Healthcare at New Britain New Britain, Connecticut","TRD (Therapeutic Recreation Director) Date added: 05/05/2025 Autumn Lake Healthcare at New Britain New Britain, Connecticut",,,Autumn Lake,https://autumnlakehealthcare.com/careers/,2025-07-01T21:38:35.040305,Skilled Nursing Facility (care_setting),snf
Autumn Lake_5828942290141789617,Dietary Aide,Autumn Lake,"Autumn Lake Healthcare at New Britain New Britain, CT",Autumn Lake Healthcare at New Britain New Britain,CT,Not specified,"Dietary Aide Date added: 04/02/2025 Autumn Lake Healthcare at New Britain New Britain, Connecticut","Dietary Aide Date added: 04/02/2025 Autumn Lake Healthcare at New Britain New Britain, Connecticut",,,Autumn Lake,https://autumnlakehealthcare.com/careers/,2025-07-01T21:38:35.744887,Skilled Nursing Facility (care_setting),snf
Autumn Lake_5256217332307346601,Certified Nursing Assistant (CNA),Autumn Lake,"Autumn Lake Healthcare at New Britain New Britain, CT",Autumn Lake Healthcare at New Britain New Britain,CT,Not specified,"Certified Nursing Assistant (CNA) Date added: 01/21/2025 Autumn Lake Healthcare at New Britain New Britain, Connecticut","Certified Nursing Assistant (CNA) Date added: 01/21/2025 Autumn Lake Healthcare at New Britain New Britain, Connecticut",,,Autumn Lake,https://autumnlakehealthcare.com/careers/,2025-07-01T21:38:36.476341,Skilled Nursing Facility (care_setting),snf
Autumn Lake_9038928553164455868,Registered Nurse (RN) Supervisor,Autumn Lake,"Autumn Lake Healthcare at New Britain New Britain, CT",Autumn Lake Healthcare at New Britain New Britain,CT,Not specified,"Registered Nurse (RN) Supervisor Date added: 03/27/2024 Autumn Lake Healthcare at New Britain New Britain, Connecticut","Registered Nurse (RN) Supervisor Date added: 03/27/2024 Autumn Lake Healthcare at New Britain New Britain, Connecticut",,,Autumn Lake,https://autumnlakehealthcare.com/careers/,2025-07-01T21:38:37.132135,Skilled Nursing Facility (care_setting),snf
Autumn Lake_1907533700559655109,Cook,Autumn Lake,CT,,CT,Not specified,"Cook Date added: 06/24/2025 Autumn Lake Healthcare at Alice Manor Baltimore, Maryland","Cook Date added: 06/24/2025 Autumn Lake Healthcare at Alice Manor Baltimore, Maryland",,,Autumn Lake,https://autumnlakehealthcare.com/careers/,2025-07-01T21:38:37.942062,Skilled Nursing Facility (care_setting),snf
Autumn Lake_5828942290141789617,Dietary Aide,Autumn Lake,CT,,CT,Not specified,"Dietary Aide Date added: 06/24/2025 Autumn Lake Healthcare at Alice Manor Baltimore, Maryland","Dietary Aide Date added: 06/24/2025 Autumn Lake Healthcare at Alice Manor Baltimore, Maryland",,,Autumn Lake,https://autumnlakehealthcare.com/careers/,2025-07-01T21:38:38.682974,Skilled Nursing Facility (care_setting),snf
Autumn Lake_2609629152119337067,Maintenance Technician,Autumn Lake,CT,,CT,Not specified,"Maintenance Technician Date added: 06/23/2025 Autumn Lake Healthcare at Alice Manor Baltimore, Maryland","Maintenance Technician Date added: 06/23/2025 Autumn Lake Healthcare at Alice Manor Baltimore, Maryland",,,Autumn Lake,https://autumnlakehealthcare.com/careers/,2025-07-01T21:38:39.384824,Skilled Nursing Facility (care_setting),snf
Autumn Lake_8953962015867590868,Geriatric Nurse Assistant (GNA),Autumn Lake,CT,,CT,Not specified,"Geriatric Nurse Assistant (GNA) Date added: 12/19/2024 Autumn Lake Healthcare at Alice Manor Baltimore, Maryland","Geriatric Nurse Assistant (GNA) Date added: 12/19/2024 Autumn Lake Healthcare at Alice Manor Baltimore, Maryland",,,Autumn Lake,https://autumnlakehealthcare.com/careers/,2025-07-01T21:38:40.138787,Skilled Nursing Facility (care_setting),snf
Autumn Lake Bucks Hill_4928299502907955311,Baylor RN Supervisor,Autumn Lake Bucks Hill,"Cromwell, CT",Cromwell,CT,Not specified,"Baylor RN Supervisor Date added: 06/12/2025 Autumn Lake Healthcare at Bucks Hill Waterbury, Connecticut","Baylor RN Supervisor Date added: 06/12/2025 Autumn Lake Healthcare at Bucks Hill Waterbury, Connecticut",,,Autumn Lake Bucks Hill,https://autumnlakebuckshill.com/career/,2025-07-01T21:38:52.878296,Skilled Nursing Facility (care_setting),snf
Autumn Lake Bucks Hill_333249910504285520,Licensed Practical Nurse (LPN),Autumn Lake Bucks Hill,"Cromwell, CT",Cromwell,CT,Not specified,"Licensed Practical Nurse (LPN) Date added: 04/19/2024 Autumn Lake Healthcare at Bucks Hill Waterbury, Connecticut","Licensed Practical Nurse (LPN) Date added: 04/19/2024 Autumn Lake Healthcare at Bucks Hill Waterbury, Connecticut",,,Autumn Lake Bucks Hill,https://autumnlakebuckshill.com/career/,2025-07-01T21:38:53.213603,Skilled Nursing Facility (care_setting),snf
Autumn Lake Cromwell_1907533700559655109,Cook,Autumn Lake Cromwell,"Waterbury, CT",Waterbury,CT,Not specified,"Cook Date added: 05/26/2025 Autumn Lake Healthcare at Cromwell Cromwell, Connecticut","Cook Date added: 05/26/2025 Autumn Lake Healthcare at Cromwell Cromwell, Connecticut",,,Autumn Lake Cromwell,https://autumnlakecromwell.com/career/,2025-07-01T21:39:04.175385,Skilled Nursing Facility (care_setting),snf
Autumn Lake Cromwell_5519908321558728672,RN Staff Development,Autumn Lake Cromwell,"Waterbury, CT",Waterbury,CT,Not specified,"RN Staff Development Date added: 05/07/2025 Autumn Lake Healthcare at Cromwell Cromwell, Connecticut","RN Staff Development Date added: 05/07/2025 Autumn Lake Healthcare at Cromwell Cromwell, Connecticut",,,Autumn Lake Cromwell,https://autumnlakecromwell.com/career/,2025-07-01T21:39:04.391835,Skilled Nursing Facility (care_setting),snf
Autumn Lake Cromwell_9038928553164455868,Registered Nurse (RN) Supervisor,Autumn Lake Cromwell,"Waterbury, CT",Waterbury,CT,Not specified,"Registered Nurse (RN) Supervisor Date added: 03/12/2025 Autumn Lake Healthcare at Cromwell Cromwell, Connecticut","Registered Nurse (RN) Supervisor Date added: 03/12/2025 Autumn Lake Healthcare at Cromwell Cromwell, Connecticut",,,Autumn Lake Cromwell,https://autumnlakecromwell.com/career/,2025-07-01T21:39:04.668157,Skilled Nursing Facility (care_setting),snf
Autumn Lake Cromwell_5828942290141789617,Dietary Aide,Autumn Lake Cromwell,"Waterbury, CT",Waterbury,CT,Not specified,"Dietary Aide Date added: 12/04/2024 Autumn Lake Healthcare at Cromwell Cromwell, Connecticut","Dietary Aide Date added: 12/04/2024 Autumn Lake Healthcare at Cromwell Cromwell, Connecticut",,,Autumn Lake Cromwell,https://autumnlakecromwell.com/career/,2025-07-01T21:39:04.899733,Skilled Nursing Facility (care_setting),snf
Autumn Lake Cromwell_8180751316843472783,RN Charge Nurse,Autumn Lake Cromwell,"Waterbury, CT",Waterbury,CT,Not specified,"RN Charge Nurse Date added: 11/27/2024 Autumn Lake Healthcare at Cromwell Cromwell, Connecticut","RN Charge Nurse Date added: 11/27/2024 Autumn Lake Healthcare at Cromwell Cromwell, Connecticut",,,Autumn Lake Cromwell,https://autumnlakecromwell.com/career/,2025-07-01T21:39:05.187034,Skilled Nursing Facility (care_setting),snf
Autumn Lake Cromwell_5124301304203768961,TRD Assistant,Autumn Lake Cromwell,"Waterbury, CT",Waterbury,CT,Not specified,"TRD Assistant Date added: 05/23/2024 Autumn Lake Healthcare at Cromwell Cromwell, Connecticut","TRD Assistant Date added: 05/23/2024 Autumn Lake Healthcare at Cromwell Cromwell, Connecticut",,,Autumn Lake Cromwell,https://autumnlakecromwell.com/career/,2025-07-01T21:39:05.447475,Skilled Nursing Facility (care_setting),snf
Autumn Lake Cromwell_333249910504285520,Licensed Practical Nurse (LPN),Autumn Lake Cromwell,"Waterbury, CT",Waterbury,CT,Not specified,"Licensed Practical Nurse (LPN) Date added: 03/27/2024 Autumn Lake Healthcare at Cromwell Cromwell, Connecticut","Licensed Practical Nurse (LPN) Date added: 03/27/2024 Autumn Lake Healthcare at Cromwell Cromwell, Connecticut",,,Autumn Lake Cromwell,https://autumnlakecromwell.com/career/,2025-07-01T21:39:05.766077,Skilled Nursing Facility (care_setting),snf
Autumn Lake Cromwell_5256217332307346601,Certified Nursing Assistant (CNA),Autumn Lake Cromwell,"Waterbury, CT",Waterbury,CT,Not specified,"Certified Nursing Assistant (CNA) Date added: 03/27/2024 Autumn Lake Healthcare at Cromwell Cromwell, Connecticut","Certified Nursing Assistant (CNA) Date added: 03/27/2024 Autumn Lake Healthcare at Cromwell Cromwell, Connecticut",,,Autumn Lake Cromwell,https://autumnlakecromwell.com/career/,2025-07-01T21:39:06.023783,Skilled Nursing Facility (care_setting),snf
Autumn Lake New Britain_5715903921360754331,TRD (Therapeutic Recreation Director),Autumn Lake New Britain,"New Britain, CT",New Britain,CT,Not specified,"TRD (Therapeutic Recreation Director) Date added: 05/05/2025 Autumn Lake Healthcare at New Britain New Britain, Connecticut","TRD (Therapeutic Recreation Director) Date added: 05/05/2025 Autumn Lake Healthcare at New Britain New Britain, Connecticut",,,Autumn Lake New Britain,https://autumnlakenewbritain.com/career/,2025-07-01T21:39:14.197622,Skilled Nursing Facility (care_setting),snf
Autumn Lake New Britain_5828942290141789617,Dietary Aide,Autumn Lake New Britain,"New Britain, CT",New Britain,CT,Not specified,"Dietary Aide Date added: 04/02/2025 Autumn Lake Healthcare at New Britain New Britain, Connecticut","Dietary Aide Date added: 04/02/2025 Autumn Lake Healthcare at New Britain New Britain, Connecticut",,,Autumn Lake New Britain,https://autumnlakenewbritain.com/career/,2025-07-01T21:39:14.495201,Skilled Nursing Facility (care_setting),snf
Autumn Lake New Britain_5256217332307346601,Certified Nursing Assistant (CNA),Autumn Lake New Britain,"New Britain, CT",New Britain,CT,Not specified,"Certified Nursing Assistant (CNA) Date added: 01/21/2025 Autumn Lake Healthcare at New Britain New Britain, Connecticut","Certified Nursing Assistant (CNA) Date added: 01/21/2025 Autumn Lake Healthcare at New Britain New Britain, Connecticut",,,Autumn Lake New Britain,https://autumnlakenewbritain.com/career/,2025-07-01T21:39:14.718114,Skilled Nursing Facility (care_setting),snf
Autumn Lake New Britain_9038928553164455868,Registered Nurse (RN) Supervisor,Autumn Lake New Britain,"New Britain, CT",New Britain,CT,Not specified,"Registered Nurse (RN) Supervisor Date added: 03/27/2024 Autumn Lake Healthcare at New Britain New Britain, Connecticut","Registered Nurse (RN) Supervisor Date added: 03/27/2024 Autumn Lake Healthcare at New Britain New Britain, Connecticut",,,Autumn Lake New Britain,https://autumnlakenewbritain.com/career/,2025-07-01T21:39:14.944312,Skilled Nursing Facility (care_setting),snf
Masonicare_923165743911252965,LPN Behavioral Health Nurse (DAY SHIFT),Masonicare,"Wallingford Center, CT",Wallingford Center,CT,Not specified,"LPN Behavioral Health Nurse (DAY SHIFT) Wallingford Center, Connecticut","LPN Behavioral Health Nurse (DAY SHIFT) Wallingford Center, Connecticut",,,Masonicare,https://jobs.masonicare.org/search-jobs,2025-07-01T21:39:27.932949,Full-Time (employment); Day Shift (shift); Home Care (care_setting),mixed
Masonicare_4041173557774736485,RN Registered Nurse (NIGHT SHIFT),Masonicare,"Shelton, CT",Shelton,CT,Not specified,"RN Registered Nurse (NIGHT SHIFT) Shelton, Connecticut","RN Registered Nurse (NIGHT SHIFT) Shelton, Connecticut",,,Masonicare,https://jobs.masonicare.org/search-jobs,2025-07-01T21:39:28.209246,Full-Time (employment); Overnight (shift); Home Care (care_setting),mixed
Masonicare_1603592758030544608,RN Registered Nurse ( NIGHT SHIFT),Masonicare,"Shelton, CT",Shelton,CT,Not specified,"RN Registered Nurse ( NIGHT SHIFT) Shelton, Connecticut","RN Registered Nurse ( NIGHT SHIFT) Shelton, Connecticut",,,Masonicare,https://jobs.masonicare.org/search-jobs,2025-07-01T21:39:28.465593,Full-Time (employment); Overnight (shift); Home Care (care_setting),mixed
Masonicare_7024975762985614955,Live In Caregiver,Masonicare,"West Hartford, CT",West Hartford,CT,Not specified,"Live In Caregiver West Hartford, Connecticut","Live In Caregiver West Hartford, Connecticut",,,Masonicare,https://jobs.masonicare.org/search-jobs,2025-07-01T21:39:28.802400,Home Care (care_setting),mixed
Masonicare_8050205181474090147,CNA Falls Prevention Aide (EVENING SHIFT),Masonicare,"Wallingford Center, CT",Wallingford Center,CT,Not specified,"CNA Falls Prevention Aide (EVENING SHIFT) Wallingford Center, Connecticut","CNA Falls Prevention Aide (EVENING SHIFT) Wallingford Center, Connecticut",,,Masonicare,https://jobs.masonicare.org/search-jobs,2025-07-01T21:39:29.173529,Full-Time (employment); Evening Shift (shift); Home Care (care_setting),mixed
Masonicare_635543795502659630,CNA Falls Prevention Aide (DAY SHIFT),Masonicare,"Wallingford Center, CT",Wallingford Center,CT,Not specified,"CNA Falls Prevention Aide (DAY SHIFT) Wallingford Center, Connecticut","CNA Falls Prevention Aide (DAY SHIFT) Wallingford Center, Connecticut",,,Masonicare,https://jobs.masonicare.org/search-jobs,2025-07-01T21:39:29.928792,Full-Time (employment); Day Shift (shift); Home Care (care_setting),mixed
Masonicare_2384783602282207949,Hospice APRN,Masonicare,"Norwich, CT",Norwich,CT,Not specified,"Hospice APRN Norwich, Connecticut","Hospice APRN Norwich, Connecticut",,,Masonicare,https://jobs.masonicare.org/search-jobs,2025-07-01T21:39:30.583743,Per Diem (employment); Hospice (care_setting),mixed
Aveanna_853446571909307173,"$10,000 SIGN ON BONUS* Physical Therapist (PT)",Aveanna,Connecticut,,CT,Not specified,"$10,000 SIGN ON BONUS* Physical Therapist (PT)","$10,000 SIGN ON BONUS* Physical Therapist (PT)",,,Aveanna,https://jobs.aveanna.com/jobs/?search_term=,2025-07-01T21:41:01.841482,Part-Time (employment); Home Care (care_setting); Bonus Available (flag),home_care
Aveanna_3538064377720819865,"$5,000 Sign On Bonus - Occupational Therapist (OT) - Home Health",Aveanna,Connecticut,,CT,Not specified,"$5,000 Sign On Bonus - Occupational Therapist (OT) - Home Health","$5,000 Sign On Bonus - Occupational Therapist (OT) - Home Health",,,Aveanna,https://jobs.aveanna.com/jobs/?search_term=,2025-07-01T21:41:02.702679,Home Care (care_setting); Bonus Available (flag),home_care
Aveanna_1065884105806667663,"$5,000 SIGN ON BONUS Occupational Therapist (OTR)",Aveanna,Connecticut,,CT,Not specified,"$5,000 SIGN ON BONUS Occupational Therapist (OTR)","$5,000 SIGN ON BONUS Occupational Therapist (OTR)",,,Aveanna,https://jobs.aveanna.com/jobs/?search_term=,2025-07-01T21:41:03.434924,Home Care (care_setting); Bonus Available (flag),home_care
Aveanna_7300154966931639238,"$5,000 Sign On Bonus - Occupational Therapist (OTR) - Home Health",Aveanna,Connecticut,,CT,Not specified,"$5,000 Sign On Bonus - Occupational Therapist (OTR) - Home Health","$5,000 Sign On Bonus - Occupational Therapist (OTR) - Home Health",,,Aveanna,https://jobs.aveanna.com/jobs/?search_term=,2025-07-01T21:41:04.199670,Home Care (care_setting); Bonus Available (flag),home_care
Aveanna_5761235342554506302,"$5,000 SIGN ON BONUS* Physical Therapist (PT)",Aveanna,Connecticut,,CT,Not specified,"$5,000 SIGN ON BONUS* Physical Therapist (PT)","$5,000 SIGN ON BONUS* Physical Therapist (PT)",,,Aveanna,https://jobs.aveanna.com/jobs/?search_term=,2025-07-01T21:41:05.741259,Part-Time (employment); Home Care (care_setting); Bonus Available (flag),home_care
Aveanna_6144056043401026453,"$7,500 SIGN ON BONUS* Physical Therapist (PT)",Aveanna,Connecticut,,CT,Not specified,"$7,500 SIGN ON BONUS* Physical Therapist (PT)","$7,500 SIGN ON BONUS* Physical Therapist (PT)",,,Aveanna,https://jobs.aveanna.com/jobs/?search_term=,2025-07-01T21:41:06.561782,Part-Time (employment); Home Care (care_setting); Bonus Available (flag),home_care
Aveanna_8548282855761093038,10K Sign On Physical Therapist PT Full Time Salaried,Aveanna,Connecticut,,CT,Not specified,10K Sign On Physical Therapist PT Full Time Salaried,10K Sign On Physical Therapist PT Full Time Salaried,,,Aveanna,https://jobs.aveanna.com/jobs/?search_term=,2025-07-01T21:41:09.319065,Full-Time (employment); Home Care (care_setting),home_care
Aveanna_3039501374877989261,1:1 Registered Nurse - School Setting,Aveanna,Connecticut,,CT,Not specified,1:1 Registered Nurse - School Setting,1:1 Registered Nurse - School Setting,,,Aveanna,https://jobs.aveanna.com/jobs/?search_term=,2025-07-01T21:41:10.063774,Home Care (care_setting),home_care
Aveanna_882716740889301057,1:1 School Licensed Nurse (LPN/LVN),Aveanna,Connecticut,,CT,Not specified,1:1 School Licensed Nurse (LPN/LVN),1:1 School Licensed Nurse (LPN/LVN),,,Aveanna,https://jobs.aveanna.com/jobs/?search_term=,2025-07-01T21:41:11.775690,Home Care (care_setting),home_care
Aveanna_8017889071790811079,1:1 School Licensed Practical Nurse (LPN),Aveanna,Connecticut,,CT,Not specified,1:1 School Licensed Practical Nurse (LPN),1:1 School Licensed Practical Nurse (LPN),,,Aveanna,https://jobs.aveanna.com/jobs/?search_term=,2025-07-01T21:41:12.788622,Home Care (care_setting),home_care
Aveanna_5642419095833042855,Private Duty Nurse (LPN),Aveanna,Connecticut,,CT,Not specified,Private Duty Nurse (LPN),Private Duty Nurse (LPN),,,Aveanna,https://jobs.aveanna.com/jobs/?search_term=,2025-07-01T21:41:13.821276,Home Care (care_setting); Private Facility (facility),home_care
Affinity Home Care_8554300567399612298,Home Health Aide (HHA),Affinity Home Care,Connecticut,,CT,Not specified,Home Health Aide (HHA),Home Health Aide (HHA),,,Affinity Home Care,https://www.intelycare.com/jobs/?listing_page=1&employer_id=4978365,2025-07-01T21:41:25.549620,Home Care (care_setting),home_care
Affinity Home Care_8496591416945569731,Home Health Aide,Affinity Home Care,Connecticut,,CT,Not specified,Home Health Aide,Home Health Aide,,,Affinity Home Care,https://www.intelycare.com/jobs/?listing_page=1&employer_id=4978365,2025-07-01T21:41:26.574732,Home Care (care_setting),home_care
Affinity Home Care_2885583204837573619,Home Health Aides (HHA),Affinity Home Care,Connecticut,,CT,Not specified,Home Health Aides (HHA),Home Health Aides (HHA),,,Affinity Home Care,https://www.intelycare.com/jobs/?listing_page=1&employer_id=4978365,2025-07-01T21:41:29.452240,Home Care (care_setting),home_care
Affinity Home Care_2746864812906403173,Registered Nurse (RN),Affinity Home Care,Connecticut,,CT,Not specified,Registered Nurse (RN),Registered Nurse (RN),,,Affinity Home Care,https://www.intelycare.com/jobs/?listing_page=1&employer_id=4978365,2025-07-01T21:41:30.345156,Home Care (care_setting),home_care
Affinity Home Care_4319065049115782517,Licensed Practitioner Nurse (LPN),Affinity Home Care,Connecticut,,CT,Not specified,Licensed Practitioner Nurse (LPN),Licensed Practitioner Nurse (LPN),,,Affinity Home Care,https://www.intelycare.com/jobs/?listing_page=1&employer_id=4978365,2025-07-01T21:41:31.262934,Home Care (care_setting),home_care
Affinity Home Care_333249910504285520,Licensed Practical Nurse (LPN),Affinity Home Care,Connecticut,,CT,Not specified,Licensed Practical Nurse (LPN),Licensed Practical Nurse (LPN),,,Affinity Home Care,https://www.intelycare.com/jobs/?listing_page=1&employer_id=4978365,2025-07-01T21:41:32.572352,Home Care (care_setting),home_care
Affinity Home Care_5256217332307346601,Certified Nursing Assistant (CNA),Affinity Home Care,Connecticut,,CT,Not specified,Certified Nursing Assistant (CNA),Certified Nursing Assistant (CNA),,,Affinity Home Care,https://www.intelycare.com/jobs/?listing_page=1&employer_id=4978365,2025-07-01T21:41:33.637513,Home Care (care_setting),home_care
Benchmark_6357518313793768878,CNA - Full Time 2nd Shift - Memory Care Community,Benchmark,Connecticut,,CT,Not specified,CNA - Full Time 2nd Shift - Memory Care Community,CNA - Full Time 2nd Shift - Memory Care Community,,,Benchmark,https://jobs.dayforcehcm.com/en-US/benchmark/CANDIDATEPORTAL,2025-07-01T21:54:37.843676,Full-Time (employment); Memory Care (care_setting),assisted_living
