title,company,location,category,salary_min,salary_max,job_type,quality_score,posted_date,application_url,requirements
"Labor & Delivery Nurse","Hartford Hospital","White Plains, NY","nursing",85844,93370,"contract",93,"2025-06-16","https://jobs.hartfordhospital.com/apply/26461","• Valid Connecticut RN license or ability to obtain | • BSN preferred, ASN required | • 1-3 years of nursing experience preferred | • BLS and ACLS certification required | • Excellent communication and critical thinking skills"
"Oncology Nurse","Middlesex Hospital","New Haven, CT","nursing",74561,102858,"per-diem",85,"2025-06-12","https://jobs.middlesexhospital.com/apply/15902","• Valid Connecticut RN license or ability to obtain | • BSN preferred, ASN required | • 1-3 years of nursing experience preferred | • BLS and ACLS certification required | • Excellent communication and critical thinking skills"
"Float Pool Nurse","Griffin Hospital","White Plains, NY","nursing",75034,104762,"contract",91,"2025-06-20","https://careers.griffinhospital.org/job/652853","• Valid Connecticut RN license or ability to obtain | • BSN preferred, ASN required | • 1-3 years of nursing experience preferred | • BLS and ACLS certification required | • Excellent communication and critical thinking skills"
"Psychiatric Nurse","Bridgeport Hospital","Springfield, MA","nursing",96615,103713,"contract",94,"2025-06-22","https://healthcarejobs.com/ct/bridgeport-hospital/74432","• Valid Connecticut RN license or ability to obtain | • BSN preferred, ASN required | • 1-3 years of nursing experience preferred | • BLS and ACLS certification required | • Excellent communication and critical thinking skills"
"OR Nurse","Backus Hospital","Milford, CT","nursing",91065,98000,"full-time",91,"2025-06-17","https://healthcarejobs.com/ct/backus-hospital/88011","• Valid Connecticut RN license or ability to obtain | • BSN preferred, ASN required | • 1-3 years of nursing experience preferred | • BLS and ACLS certification required | • Excellent communication and critical thinking skills"
"OR Nurse","Hartford Hospital","Springfield, MA","nursing",90349,103802,"part-time",85,"2025-06-15","https://healthcarejobs.com/ct/hartford-hospital/42386","• Valid Connecticut RN license or ability to obtain | • BSN preferred, ASN required | • 1-3 years of nursing experience preferred | • BLS and ACLS certification required | • Excellent communication and critical thinking skills"
"Psychiatric Nurse","Charlotte Hungerford Hospital","New Britain, CT","nursing",72317,82767,"contract",91,"2025-06-20","https://careers.charlottehungerfordhospital.net/opportunities/6668","• Valid Connecticut RN license or ability to obtain | • BSN preferred, ASN required | • 1-3 years of nursing experience preferred | • BLS and ACLS certification required | • Excellent communication and critical thinking skills"
"Labor & Delivery Nurse","Day Kimball Hospital","Yonkers, NY","nursing",90676,96917,"full-time",95,"2025-06-23","https://www.glassdoor.com/job-listing/labor-&-delivery-nurse-day-kimball-hospital-JV_IC1365804.htm","• Valid Connecticut RN license or ability to obtain | • BSN preferred, ASN required | • 1-3 years of nursing experience preferred | • BLS and ACLS certification required | • Excellent communication and critical thinking skills"
"Travel Nurse","Prospect Medical Holdings","Meriden, CT","nursing",71100,104204,"contract",93,"2025-06-21","https://www.indeed.com/viewjob?jk=4983497374644568","• Valid Connecticut RN license or ability to obtain | • BSN preferred, ASN required | • 1-3 years of nursing experience preferred | • BLS and ACLS certification required | • Excellent communication and critical thinking skills"
"Float Pool Nurse","Griffin Hospital","Greenwich, CT","nursing",84550,100278,"full-time",89,"2025-06-18","https://www.indeed.com/viewjob?jk=1812750455257478","• Valid Connecticut RN license or ability to obtain | • BSN preferred, ASN required | • 1-3 years of nursing experience preferred | • BLS and ACLS certification required | • Excellent communication and critical thinking skills"
"Pediatric Nurse","Trinity Health","Norwich, CT","nursing",72514,94441,"contract",97,"2025-06-10","https://www.glassdoor.com/job-listing/pediatric-nurse-trinity-health-JV_IC8503919.htm","• Valid Connecticut RN license or ability to obtain | • BSN preferred, ASN required | • 1-3 years of nursing experience preferred | • BLS and ACLS certification required | • Excellent communication and critical thinking skills"
"ICU Nurse","Stamford Hospital","New Haven, CT","nursing",77026,91346,"contract",94,"2025-06-17","https://careers.stamfordhospital.net/opportunities/3443","• Valid Connecticut RN license or ability to obtain | • BSN preferred, ASN required | • 1-3 years of nursing experience preferred | • BLS and ACLS certification required | • Excellent communication and critical thinking skills"
"Travel Nurse","Charlotte Hungerford Hospital","West Haven, CT","nursing",82103,88171,"per-diem",93,"2025-06-11","https://careers.charlottehungerfordhospital.net/opportunities/5609","• Valid Connecticut RN license or ability to obtain | • BSN preferred, ASN required | • 1-3 years of nursing experience preferred | • BLS and ACLS certification required | • Excellent communication and critical thinking skills"
"Travel Nurse","Hospital of Central Connecticut","Bristol, CT","nursing",93040,98881,"per-diem",97,"2025-06-18","https://www.ziprecruiter.com/c/Hospital-of-Central-Connecticut/Jobs/378276","• Valid Connecticut RN license or ability to obtain | • BSN preferred, ASN required | • 1-3 years of nursing experience preferred | • BLS and ACLS certification required | • Excellent communication and critical thinking skills"
"Psychiatric Nurse","Backus Hospital","White Plains, NY","nursing",74376,95252,"full-time",98,"2025-06-19","https://www.glassdoor.com/job-listing/psychiatric-nurse-backus-hospital-JV_IC9528126.htm","• Valid Connecticut RN license or ability to obtain | • BSN preferred, ASN required | • 1-3 years of nursing experience preferred | • BLS and ACLS certification required | • Excellent communication and critical thinking skills"
"Travel Nurse","Hartford HealthCare","New Britain, CT","nursing",80751,95406,"full-time",78,"2025-06-17","https://healthcarejobs.com/ct/hartford-healthcare/85966","• Valid Connecticut RN license or ability to obtain | • BSN preferred, ASN required | • 1-3 years of nursing experience preferred | • BLS and ACLS certification required | • Excellent communication and critical thinking skills"
"Trauma Nurse","Trinity Health","Stamford, CT","nursing",89721,103860,"contract",83,"2025-06-23","https://www.glassdoor.com/job-listing/trauma-nurse-trinity-health-JV_IC7403134.htm","• Valid Connecticut RN license or ability to obtain | • BSN preferred, ASN required | • 1-3 years of nursing experience preferred | • BLS and ACLS certification required | • Excellent communication and critical thinking skills"
"Cardiac Nurse","Bridgeport Hospital","Yonkers, NY","nursing",73037,96463,"full-time",90,"2025-06-11","https://www.glassdoor.com/job-listing/cardiac-nurse-bridgeport-hospital-JV_IC4871707.htm","• Valid Connecticut RN license or ability to obtain | • BSN preferred, ASN required | • 1-3 years of nursing experience preferred | • BLS and ACLS certification required | • Excellent communication and critical thinking skills"
"ICU Nurse","Trinity Health","Norwalk, CT","nursing",71490,81586,"contract",98,"2025-06-19","https://www.glassdoor.com/job-listing/icu-nurse-trinity-health-JV_IC3732030.htm","• Valid Connecticut RN license or ability to obtain | • BSN preferred, ASN required | • 1-3 years of nursing experience preferred | • BLS and ACLS certification required | • Excellent communication and critical thinking skills"
"Pediatric Nurse","Danbury Hospital","Norwalk, CT","nursing",89438,94496,"per-diem",87,"2025-06-17","https://careers.danburyhospital.net/opportunities/9069","• Valid Connecticut RN license or ability to obtain | • BSN preferred, ASN required | • 1-3 years of nursing experience preferred | • BLS and ACLS certification required | • Excellent communication and critical thinking skills"
"Charge Nurse","Yale New Haven Hospital","Hartford, CT","nursing",87223,93788,"per-diem",83,"2025-06-18","https://careers.yalenewhavenhospital.net/opportunities/5856","• Valid Connecticut RN license or ability to obtain | • BSN preferred, ASN required | • 1-3 years of nursing experience preferred | • BLS and ACLS certification required | • Excellent communication and critical thinking skills"
"Psychiatric Nurse","Backus Hospital","Bridgeport, CT","nursing",80759,104669,"contract",82,"2025-06-20","https://careers.backushospital.net/opportunities/3203","• Valid Connecticut RN license or ability to obtain | • BSN preferred, ASN required | • 1-3 years of nursing experience preferred | • BLS and ACLS certification required | • Excellent communication and critical thinking skills"
"OR Nurse","Yale New Haven Hospital","Fairfield, CT","nursing",71810,96820,"full-time",85,"2025-06-20","https://www.ziprecruiter.com/c/Yale-New-Haven-Hospital/Jobs/333842","• Valid Connecticut RN license or ability to obtain | • BSN preferred, ASN required | • 1-3 years of nursing experience preferred | • BLS and ACLS certification required | • Excellent communication and critical thinking skills"
"Labor & Delivery Nurse","Day Kimball Hospital","Middletown, CT","nursing",70430,99882,"contract",96,"2025-06-16","https://healthcarejobs.com/ct/day-kimball-hospital/85348","• Valid Connecticut RN license or ability to obtain | • BSN preferred, ASN required | • 1-3 years of nursing experience preferred | • BLS and ACLS certification required | • Excellent communication and critical thinking skills"
"Pediatric Nurse","Charlotte Hungerford Hospital","Meriden, CT","nursing",93045,99727,"contract",81,"2025-06-23","https://healthcarejobs.com/ct/charlotte-hungerford-hospital/66342","• Valid Connecticut RN license or ability to obtain | • BSN preferred, ASN required | • 1-3 years of nursing experience preferred | • BLS and ACLS certification required | • Excellent communication and critical thinking skills"
"Registered Nurse - ICU","Day Kimball Hospital","Waterbury, CT","nursing",70180,101988,"part-time",95,"2025-06-14","https://www.ziprecruiter.com/c/Day-Kimball-Hospital/Jobs/145065","• Valid Connecticut RN license or ability to obtain | • BSN preferred, ASN required | • 1-3 years of nursing experience preferred | • BLS and ACLS certification required | • Excellent communication and critical thinking skills"
"Charge Nurse","Prospect Medical Holdings","Hartford, CT","nursing",93975,104897,"part-time",88,"2025-06-22","https://careers.prospectmedicalholdings.net/opportunities/9014","• Valid Connecticut RN license or ability to obtain | • BSN preferred, ASN required | • 1-3 years of nursing experience preferred | • BLS and ACLS certification required | • Excellent communication and critical thinking skills"
"Nurse Manager","Hartford HealthCare","Yonkers, NY","nursing",87570,96324,"full-time",98,"2025-06-09","https://careers.hartfordhealthcare.org/job/593644","• Valid Connecticut RN license or ability to obtain | • BSN preferred, ASN required | • 1-3 years of nursing experience preferred | • BLS and ACLS certification required | • Excellent communication and critical thinking skills"
"RN - Emergency Department","Middlesex Hospital","Danbury, CT","nursing",95735,103437,"per-diem",98,"2025-06-18","https://careers.middlesexhospital.org/job/388787","• Valid Connecticut RN license or ability to obtain | • BSN preferred, ASN required | • 1-3 years of nursing experience preferred | • BLS and ACLS certification required | • Excellent communication and critical thinking skills"
"Charge Nurse","Middlesex Hospital","White Plains, NY","nursing",75043,95988,"part-time",98,"2025-06-19","https://www.indeed.com/viewjob?jk=4535332889242795","• Valid Connecticut RN license or ability to obtain | • BSN preferred, ASN required | • 1-3 years of nursing experience preferred | • BLS and ACLS certification required | • Excellent communication and critical thinking skills"
"Labor & Delivery Nurse","Yale New Haven Hospital","Yonkers, NY","nursing",84561,96110,"per-diem",98,"2025-06-10","https://careers.yalenewhavenhospital.net/opportunities/4779","• Valid Connecticut RN license or ability to obtain | • BSN preferred, ASN required | • 1-3 years of nursing experience preferred | • BLS and ACLS certification required | • Excellent communication and critical thinking skills"
"Staff Nurse - Med/Surg","Middlesex Hospital","Greenwich, CT","nursing",88562,95209,"full-time",83,"2025-06-22","https://careers.middlesexhospital.net/opportunities/1948","• Valid Connecticut RN license or ability to obtain | • BSN preferred, ASN required | • 1-3 years of nursing experience preferred | • BLS and ACLS certification required | • Excellent communication and critical thinking skills"
"Registered Nurse - ICU","Yale New Haven Health System","Norwich, CT","nursing",76321,97952,"per-diem",88,"2025-06-10","https://careers.yalenewhavenhealthsystem.net/opportunities/3451","• Valid Connecticut RN license or ability to obtain | • BSN preferred, ASN required | • 1-3 years of nursing experience preferred | • BLS and ACLS certification required | • Excellent communication and critical thinking skills"
"Clinical Nurse Specialist","Griffin Hospital","Milford, CT","nursing",70864,94080,"contract",91,"2025-06-12","https://careers.griffinhospital.org/job/565653","• Valid Connecticut RN license or ability to obtain | • BSN preferred, ASN required | • 1-3 years of nursing experience preferred | • BLS and ACLS certification required | • Excellent communication and critical thinking skills"
"Registered Nurse - ICU","Hartford HealthCare","Bristol, CT","nursing",73796,93492,"per-diem",91,"2025-06-15","https://careers.hartfordhealthcare.org/job/850257","• Valid Connecticut RN license or ability to obtain | • BSN preferred, ASN required | • 1-3 years of nursing experience preferred | • BLS and ACLS certification required | • Excellent communication and critical thinking skills"
"Charge Nurse","Backus Hospital","Yonkers, NY","nursing",91413,103135,"per-diem",79,"2025-06-12","https://www.indeed.com/viewjob?jk=2146658664084918","• Valid Connecticut RN license or ability to obtain | • BSN preferred, ASN required | • 1-3 years of nursing experience preferred | • BLS and ACLS certification required | • Excellent communication and critical thinking skills"
"Labor & Delivery Nurse","Yale New Haven Health System","Fairfield, CT","nursing",91863,97438,"contract",90,"2025-06-14","https://careers.yalenewhavenhealthsystem.org/job/254029","• Valid Connecticut RN license or ability to obtain | • BSN preferred, ASN required | • 1-3 years of nursing experience preferred | • BLS and ACLS certification required | • Excellent communication and critical thinking skills"
"Labor & Delivery Nurse","Prospect Medical Holdings","New Britain, CT","nursing",86086,98479,"contract",94,"2025-06-20","https://careers.prospectmedicalholdings.net/opportunities/7083","• Valid Connecticut RN license or ability to obtain | • BSN preferred, ASN required | • 1-3 years of nursing experience preferred | • BLS and ACLS certification required | • Excellent communication and critical thinking skills"
"Nurse Manager","Danbury Hospital","Waterbury, CT","nursing",81922,89136,"per-diem",88,"2025-06-13","https://www.glassdoor.com/job-listing/nurse-manager-danbury-hospital-JV_IC9236595.htm","• Valid Connecticut RN license or ability to obtain | • BSN preferred, ASN required | • 1-3 years of nursing experience preferred | • BLS and ACLS certification required | • Excellent communication and critical thinking skills"
"ICU Nurse","Stamford Hospital","New Britain, CT","nursing",79070,103585,"full-time",90,"2025-06-14","https://healthcarejobs.com/ct/stamford-hospital/64983","• Valid Connecticut RN license or ability to obtain | • BSN preferred, ASN required | • 1-3 years of nursing experience preferred | • BLS and ACLS certification required | • Excellent communication and critical thinking skills"
"Float Pool Nurse","Danbury Hospital","Bridgeport, CT","nursing",89196,94518,"full-time",89,"2025-06-10","https://healthcarejobs.com/ct/danbury-hospital/18982","• Valid Connecticut RN license or ability to obtain | • BSN preferred, ASN required | • 1-3 years of nursing experience preferred | • BLS and ACLS certification required | • Excellent communication and critical thinking skills"
"NICU Nurse","St. Francis Hospital","Bridgeport, CT","nursing",96256,103185,"part-time",94,"2025-06-23","https://www.glassdoor.com/job-listing/nicu-nurse-st.-francis-hospital-JV_IC6408846.htm","• Valid Connecticut RN license or ability to obtain | • BSN preferred, ASN required | • 1-3 years of nursing experience preferred | • BLS and ACLS certification required | • Excellent communication and critical thinking skills"
"Psychiatric Nurse","Yale New Haven Hospital","Bridgeport, CT","nursing",86205,97757,"part-time",84,"2025-06-22","https://www.ziprecruiter.com/c/Yale-New-Haven-Hospital/Jobs/176316","• Valid Connecticut RN license or ability to obtain | • BSN preferred, ASN required | • 1-3 years of nursing experience preferred | • BLS and ACLS certification required | • Excellent communication and critical thinking skills"
"Staff Nurse - Med/Surg","Connecticut Children's Medical Center","West Haven, CT","nursing",80398,95597,"full-time",79,"2025-06-15","https://www.glassdoor.com/job-listing/staff-nurse---med/surg-connecticut-children's-medical-center-JV_IC5105605.htm","• Valid Connecticut RN license or ability to obtain | • BSN preferred, ASN required | • 1-3 years of nursing experience preferred | • BLS and ACLS certification required | • Excellent communication and critical thinking skills"
"Cardiac Nurse","Hartford Hospital","White Plains, NY","nursing",96197,101220,"full-time",85,"2025-06-23","https://www.indeed.com/viewjob?jk=1262508386890207","• Valid Connecticut RN license or ability to obtain | • BSN preferred, ASN required | • 1-3 years of nursing experience preferred | • BLS and ACLS certification required | • Excellent communication and critical thinking skills"
"RN - Emergency Department","Bridgeport Hospital","Norwalk, CT","nursing",90670,95962,"full-time",88,"2025-06-15","https://careers.bridgeporthospital.net/opportunities/9627","• Valid Connecticut RN license or ability to obtain | • BSN preferred, ASN required | • 1-3 years of nursing experience preferred | • BLS and ACLS certification required | • Excellent communication and critical thinking skills"
"RN - Emergency Department","Hartford Hospital","Bridgeport, CT","nursing",78392,97748,"part-time",80,"2025-06-09","https://jobs.hartfordhospital.com/apply/82699","• Valid Connecticut RN license or ability to obtain | • BSN preferred, ASN required | • 1-3 years of nursing experience preferred | • BLS and ACLS certification required | • Excellent communication and critical thinking skills"
"Staff Nurse - Med/Surg","Middlesex Hospital","Milford, CT","nursing",82187,104864,"full-time",93,"2025-06-19","https://www.ziprecruiter.com/c/Middlesex-Hospital/Jobs/815845","• Valid Connecticut RN license or ability to obtain | • BSN preferred, ASN required | • 1-3 years of nursing experience preferred | • BLS and ACLS certification required | • Excellent communication and critical thinking skills"
"Labor & Delivery Nurse","Trinity Health","Fairfield, CT","nursing",72006,92562,"full-time",85,"2025-06-23","https://careers.trinityhealth.org/job/485062","• Valid Connecticut RN license or ability to obtain | • BSN preferred, ASN required | • 1-3 years of nursing experience preferred | • BLS and ACLS certification required | • Excellent communication and critical thinking skills"
"Staff Nurse - Med/Surg","Yale New Haven Hospital","Bridgeport, CT","nursing",88755,103656,"contract",84,"2025-06-14","https://www.ziprecruiter.com/c/Yale-New-Haven-Hospital/Jobs/319830","• Valid Connecticut RN license or ability to obtain | • BSN preferred, ASN required | • 1-3 years of nursing experience preferred | • BLS and ACLS certification required | • Excellent communication and critical thinking skills"
"Nurse Manager","Yale New Haven Health System","Waterbury, CT","nursing",82695,96117,"per-diem",84,"2025-06-16","https://healthcarejobs.com/ct/yale-new-haven-health-system/28637","• Valid Connecticut RN license or ability to obtain | • BSN preferred, ASN required | • 1-3 years of nursing experience preferred | • BLS and ACLS certification required | • Excellent communication and critical thinking skills"
"Cardiac Nurse","Charlotte Hungerford Hospital","Norwalk, CT","nursing",89819,97955,"part-time",97,"2025-06-09","https://www.glassdoor.com/job-listing/cardiac-nurse-charlotte-hungerford-hospital-JV_IC2130411.htm","• Valid Connecticut RN license or ability to obtain | • BSN preferred, ASN required | • 1-3 years of nursing experience preferred | • BLS and ACLS certification required | • Excellent communication and critical thinking skills"
"Clinical Nurse Specialist","Danbury Hospital","Hartford, CT","nursing",91834,101063,"full-time",86,"2025-06-10","https://www.glassdoor.com/job-listing/clinical-nurse-specialist-danbury-hospital-JV_IC4670805.htm","• Valid Connecticut RN license or ability to obtain | • BSN preferred, ASN required | • 1-3 years of nursing experience preferred | • BLS and ACLS certification required | • Excellent communication and critical thinking skills"
"Nurse Manager","Middlesex Hospital","Norwich, CT","nursing",71144,94525,"full-time",98,"2025-06-09","https://jobs.middlesexhospital.com/apply/59107","• Valid Connecticut RN license or ability to obtain | • BSN preferred, ASN required | • 1-3 years of nursing experience preferred | • BLS and ACLS certification required | • Excellent communication and critical thinking skills"
"Labor & Delivery Nurse","Griffin Hospital","Stamford, CT","nursing",72089,82516,"per-diem",85,"2025-06-11","https://jobs.griffinhospital.com/apply/89635","• Valid Connecticut RN license or ability to obtain | • BSN preferred, ASN required | • 1-3 years of nursing experience preferred | • BLS and ACLS certification required | • Excellent communication and critical thinking skills"
"RN - Emergency Department","Middlesex Hospital","Providence, RI","nursing",78389,98900,"contract",88,"2025-06-22","https://www.indeed.com/viewjob?jk=6713378729469350","• Valid Connecticut RN license or ability to obtain | • BSN preferred, ASN required | • 1-3 years of nursing experience preferred | • BLS and ACLS certification required | • Excellent communication and critical thinking skills"
"NICU Nurse","Hospital of Central Connecticut","Greenwich, CT","nursing",80198,85283,"contract",95,"2025-06-13","https://www.glassdoor.com/job-listing/nicu-nurse-hospital-of-central-connecticut-JV_IC9480744.htm","• Valid Connecticut RN license or ability to obtain | • BSN preferred, ASN required | • 1-3 years of nursing experience preferred | • BLS and ACLS certification required | • Excellent communication and critical thinking skills"
"Charge Nurse","Yale New Haven Hospital","New Britain, CT","nursing",95817,101351,"full-time",79,"2025-06-22","https://careers.yalenewhavenhospital.net/opportunities/2154","• Valid Connecticut RN license or ability to obtain | • BSN preferred, ASN required | • 1-3 years of nursing experience preferred | • BLS and ACLS certification required | • Excellent communication and critical thinking skills"
"Cardiac Nurse","Connecticut Children's Medical Center","Danbury, CT","nursing",72640,103875,"per-diem",96,"2025-06-13","https://healthcarejobs.com/ct/connecticut-children's-medical-center/18651","• Valid Connecticut RN license or ability to obtain | • BSN preferred, ASN required | • 1-3 years of nursing experience preferred | • BLS and ACLS certification required | • Excellent communication and critical thinking skills"
"Trauma Nurse","Yale New Haven Hospital","White Plains, NY","nursing",88219,98534,"per-diem",82,"2025-06-18","https://jobs.yalenewhavenhospital.com/apply/39234","• Valid Connecticut RN license or ability to obtain | • BSN preferred, ASN required | • 1-3 years of nursing experience preferred | • BLS and ACLS certification required | • Excellent communication and critical thinking skills"
"Trauma Nurse","Yale New Haven Health System","Norwich, CT","nursing",96251,104552,"part-time",82,"2025-06-11","https://healthcarejobs.com/ct/yale-new-haven-health-system/79745","• Valid Connecticut RN license or ability to obtain | • BSN preferred, ASN required | • 1-3 years of nursing experience preferred | • BLS and ACLS certification required | • Excellent communication and critical thinking skills"
"Travel Nurse","Backus Hospital","Fairfield, CT","nursing",89422,101451,"part-time",85,"2025-06-12","https://healthcarejobs.com/ct/backus-hospital/55216","• Valid Connecticut RN license or ability to obtain | • BSN preferred, ASN required | • 1-3 years of nursing experience preferred | • BLS and ACLS certification required | • Excellent communication and critical thinking skills"
"Clinical Nurse Specialist","Norwalk Hospital","Milford, CT","nursing",76644,92750,"part-time",78,"2025-06-22","https://careers.norwalkhospital.org/job/246458","• Valid Connecticut RN license or ability to obtain | • BSN preferred, ASN required | • 1-3 years of nursing experience preferred | • BLS and ACLS certification required | • Excellent communication and critical thinking skills"
"NICU Nurse","Hartford Hospital","Stamford, CT","nursing",90530,104924,"full-time",91,"2025-06-19","https://www.ziprecruiter.com/c/Hartford-Hospital/Jobs/782335","• Valid Connecticut RN license or ability to obtain | • BSN preferred, ASN required | • 1-3 years of nursing experience preferred | • BLS and ACLS certification required | • Excellent communication and critical thinking skills"
"Psychiatric Nurse","Prospect Medical Holdings","Milford, CT","nursing",93802,102224,"contract",94,"2025-06-13","https://jobs.prospectmedicalholdings.com/apply/66000","• Valid Connecticut RN license or ability to obtain | • BSN preferred, ASN required | • 1-3 years of nursing experience preferred | • BLS and ACLS certification required | • Excellent communication and critical thinking skills"
"OR Nurse","Stamford Hospital","New Britain, CT","nursing",79736,90632,"contract",78,"2025-06-21","https://www.ziprecruiter.com/c/Stamford-Hospital/Jobs/396837","• Valid Connecticut RN license or ability to obtain | • BSN preferred, ASN required | • 1-3 years of nursing experience preferred | • BLS and ACLS certification required | • Excellent communication and critical thinking skills"
"Pediatric Nurse","Middlesex Hospital","Providence, RI","nursing",87731,98190,"contract",97,"2025-06-19","https://healthcarejobs.com/ct/middlesex-hospital/10617","• Valid Connecticut RN license or ability to obtain | • BSN preferred, ASN required | • 1-3 years of nursing experience preferred | • BLS and ACLS certification required | • Excellent communication and critical thinking skills"
"Labor & Delivery Nurse","Hartford HealthCare","West Haven, CT","nursing",94976,101103,"per-diem",88,"2025-06-14","https://www.ziprecruiter.com/c/Hartford-HealthCare/Jobs/865945","• Valid Connecticut RN license or ability to obtain | • BSN preferred, ASN required | • 1-3 years of nursing experience preferred | • BLS and ACLS certification required | • Excellent communication and critical thinking skills"
"Trauma Nurse","Day Kimball Hospital","Springfield, MA","nursing",94227,104378,"full-time",88,"2025-06-13","https://careers.daykimballhospital.org/job/442741","• Valid Connecticut RN license or ability to obtain | • BSN preferred, ASN required | • 1-3 years of nursing experience preferred | • BLS and ACLS certification required | • Excellent communication and critical thinking skills"
"Trauma Nurse","Yale New Haven Health System","Bristol, CT","nursing",75246,84993,"part-time",98,"2025-06-10","https://careers.yalenewhavenhealthsystem.org/job/210177","• Valid Connecticut RN license or ability to obtain | • BSN preferred, ASN required | • 1-3 years of nursing experience preferred | • BLS and ACLS certification required | • Excellent communication and critical thinking skills"
"Float Pool Nurse","Stamford Hospital","West Haven, CT","nursing",90943,100519,"contract",86,"2025-06-15","https://healthcarejobs.com/ct/stamford-hospital/42691","• Valid Connecticut RN license or ability to obtain | • BSN preferred, ASN required | • 1-3 years of nursing experience preferred | • BLS and ACLS certification required | • Excellent communication and critical thinking skills"
"Oncology Nurse","Yale New Haven Hospital","Danbury, CT","nursing",96039,102544,"contract",93,"2025-06-12","https://healthcarejobs.com/ct/yale-new-haven-hospital/58561","• Valid Connecticut RN license or ability to obtain | • BSN preferred, ASN required | • 1-3 years of nursing experience preferred | • BLS and ACLS certification required | • Excellent communication and critical thinking skills"
"Pediatric Nurse","Connecticut Children's Medical Center","Milford, CT","nursing",70108,86249,"contract",97,"2025-06-20","https://www.glassdoor.com/job-listing/pediatric-nurse-connecticut-children's-medical-center-JV_IC1346224.htm","• Valid Connecticut RN license or ability to obtain | • BSN preferred, ASN required | • 1-3 years of nursing experience preferred | • BLS and ACLS certification required | • Excellent communication and critical thinking skills"
"RN - Emergency Department","Charlotte Hungerford Hospital","Stamford, CT","nursing",90302,104454,"per-diem",79,"2025-06-22","https://www.glassdoor.com/job-listing/rn---emergency-department-charlotte-hungerford-hospital-JV_IC7638816.htm","• Valid Connecticut RN license or ability to obtain | • BSN preferred, ASN required | • 1-3 years of nursing experience preferred | • BLS and ACLS certification required | • Excellent communication and critical thinking skills"
